step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.6,0.108548,,,,,,,,
200,0.9,0.001891,,,,,,,,
300,1.3,0.001263,,,,,,,,
400,1.6,0.000291,,,,,,,,
500,1.9,0.000180,,,,,,,,
600,2.3,0.000064,,,,,,,,
700,2.6,0.000259,,,,,,,,
800,3.0,0.000204,,,,,,,,
900,3.3,0.000064,,,,,,,,
1000,3.7,0.000047,,,,,,,,
1100,4.1,0.000044,,,,,,,,
1200,4.4,0.000064,,,,,,,,
1300,4.8,0.000056,,,,,,,,
1400,5.1,0.000032,,,,,,,,
1500,5.5,0.000035,,,,,,,,
1600,5.9,0.000041,,,,,,,,
1700,6.2,0.000189,,,,,,,,
1800,6.6,0.000029,,,,,,,,
1900,7.0,0.000041,,,,,,,,
2000,7.3,0.000026,,,,,,,,
2100,7.7,0.000040,,,,,,,,
2200,8.0,0.000019,,,,,,,,
2300,8.5,0.000099,,,,,,,,
2400,8.7,0.000030,,,,,,,,
2500,9.1,0.000027,,,,,,,,
2600,9.5,0.000027,,,,,,,,
2700,9.8,0.000025,,,,,,,,
2800,10.2,0.000018,,,,,,,,
2900,10.5,0.000015,,,,,,,,
3000,10.8,0.000021,,,,,,,,
3100,11.3,0.000021,,,,,,,,
3200,11.6,0.000018,,,,,,,,
3300,11.9,0.000052,,,,,,,,
3400,12.3,0.000028,,,,,,,,
3500,12.6,0.000044,,,,,,,,
3600,13.1,0.000011,,,,,,,,
3700,13.3,0.000026,,,,,,,,
3800,13.7,0.000042,,,,,,,,
3900,14.1,0.000007,,,,,,,,
4000,14.4,0.000006,,,,,,,,
4100,14.8,0.000050,,,,,,,,
4200,15.1,0.000021,,,,,,,,
4300,15.5,0.000018,,,,,,,,
4400,15.8,0.000039,,,,,,,,
4500,16.1,0.000012,,,,,,,,
4600,16.5,0.000015,,,,,,,,
4700,16.8,0.000009,,,,,,,,
4800,17.3,0.000031,,,,,,,,
4900,17.6,0.000044,,,,,,,,
5000,19.4,0.000019,0.000013,2.382491e-01,1.621513e-02,1.269942e-02,0.000000,1.220651e-01,1.552824e-02,1.235869e-02
5100,19.7,0.000008,,,,,,,,
5200,20.2,0.000015,,,,,,,,
5300,20.5,0.000017,,,,,,,,
5400,20.9,0.000020,,,,,,,,
5500,21.2,0.000011,,,,,,,,
5600,21.5,0.000024,,,,,,,,
5700,21.9,0.000019,,,,,,,,
5800,22.2,0.000023,,,,,,,,
5900,22.7,0.000014,,,,,,,,
6000,22.9,0.000012,,,,,,,,
6100,23.3,0.000010,,,,,,,,
6200,23.7,0.000015,,,,,,,,
6300,24.0,0.000030,,,,,,,,
6400,24.4,0.000031,,,,,,,,
6500,24.7,0.000016,,,,,,,,
6600,25.1,0.000018,,,,,,,,
6700,25.4,0.000025,,,,,,,,
6800,25.8,0.000036,,,,,,,,
6900,26.2,0.000004,,,,,,,,
7000,26.5,0.000026,,,,,,,,
7100,26.9,0.000009,,,,,,,,
7200,27.3,0.000007,,,,,,,,
7300,27.6,0.000005,,,,,,,,
7400,28.1,0.000007,,,,,,,,
7500,28.3,0.000040,,,,,,,,
7600,28.8,0.000010,,,,,,,,
7700,29.1,0.000008,,,,,,,,
