step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,1.4,0.100291,,,,,,,,
200,1.6,0.111089,,,,,,,,
300,1.8,0.045386,,,,,,,,
400,2.0,0.004441,,,,,,,,
500,2.2,0.003003,,,,,,,,
600,2.4,0.001853,,,,,,,,
700,2.6,0.001605,,,,,,,,
800,2.8,0.001888,,,,,,,,
900,3.0,0.001364,,,,,,,,
1000,3.2,0.000990,,,,,,,,
1100,3.4,0.001230,,,,,,,,
1200,3.6,0.000556,,,,,,,,
1300,3.7,0.000861,,,,,,,,
1400,3.9,0.000462,,,,,,,,
1500,4.1,0.000294,,,,,,,,
1600,4.3,0.000228,,,,,,,,
1700,4.5,0.000213,,,,,,,,
1800,4.7,0.000184,,,,,,,,
1900,4.9,0.000148,,,,,,,,
2000,5.1,0.000089,,,,,,,,
2100,5.3,0.000189,,,,,,,,
2200,5.4,0.000112,,,,,,,,
2300,5.6,0.000053,,,,,,,,
2400,5.8,0.000101,,,,,,,,
2500,6.0,0.000097,,,,,,,,
2600,6.2,0.000049,,,,,,,,
2700,6.4,0.000306,,,,,,,,
2800,6.6,0.000057,,,,,,,,
2900,6.8,0.000036,,,,,,,,
3000,7.0,0.000035,,,,,,,,
3100,7.1,0.000037,,,,,,,,
3200,7.3,0.000044,,,,,,,,
3300,7.5,0.000045,,,,,,,,
3400,7.7,0.000090,,,,,,,,
3500,7.9,0.000022,,,,,,,,
3600,8.1,0.000049,,,,,,,,
3700,8.3,0.000039,,,,,,,,
3800,8.5,0.000035,,,,,,,,
3900,8.7,0.000035,,,,,,,,
4000,8.9,0.000051,,,,,,,,
4100,9.1,0.000045,,,,,,,,
4200,9.3,0.000047,,,,,,,,
4300,9.5,0.000024,,,,,,,,
4400,9.7,0.000119,,,,,,,,
4500,9.9,0.000077,,,,,,,,
4600,10.1,0.000054,,,,,,,,
4700,10.2,0.000075,,,,,,,,
4800,10.4,0.000060,,,,,,,,
4900,10.6,0.000018,,,,,,,,
5000,12.3,0.000037,0.000040,2.899607e-01,3.179806e-02,2.819229e-02,0.000000,2.075015e-01,3.091367e-02,2.763586e-02
5100,12.5,0.000025,,,,,,,,
5200,12.7,0.000027,,,,,,,,
5300,12.9,0.000032,,,,,,,,
5400,13.1,0.000056,,,,,,,,
5500,13.3,0.000039,,,,,,,,
5600,13.5,0.000027,,,,,,,,
5700,13.7,0.000032,,,,,,,,
5800,13.9,0.000035,,,,,,,,
5900,14.1,0.000036,,,,,,,,
6000,14.3,0.000060,,,,,,,,
6100,14.5,0.000016,,,,,,,,
6200,14.6,0.000069,,,,,,,,
6300,14.8,0.000058,,,,,,,,
6400,15.0,0.000105,,,,,,,,
6500,15.2,0.000045,,,,,,,,
6600,15.4,0.000033,,,,,,,,
6700,15.6,0.000054,,,,,,,,
6800,15.8,0.000018,,,,,,,,
6900,16.0,0.000080,,,,,,,,
7000,16.1,0.000018,,,,,,,,
7100,16.3,0.000016,,,,,,,,
7200,16.5,0.000017,,,,,,,,
7300,16.7,0.000020,,,,,,,,
7400,16.9,0.000017,,,,,,,,
7500,17.1,0.000016,,,,,,,,
7600,17.3,0.000032,,,,,,,,
7700,17.5,0.000043,,,,,,,,
7800,17.6,0.000051,,,,,,,,
7900,17.8,0.000031,,,,,,,,
8000,18.0,0.000024,,,,,,,,
8100,18.2,0.000025,,,,,,,,
8200,18.4,0.000020,,,,,,,,
8300,18.6,0.000029,,,,,,,,
8400,18.8,0.000092,,,,,,,,
8500,19.0,0.000028,,,,,,,,
8600,19.2,0.000039,,,,,,,,
8700,19.3,0.000053,,,,,,,,
8800,19.5,0.000010,,,,,,,,
8900,19.7,0.000018,,,,,,,,
9000,19.9,0.000038,,,,,,,,
9100,20.1,0.000019,,,,,,,,
9200,20.3,0.000015,,,,,,,,
9300,20.5,0.000031,,,,,,,,
9400,20.7,0.000049,,,,,,,,
9500,20.9,0.000049,,,,,,,,
9600,21.1,0.000016,,,,,,,,
9700,21.3,0.000018,,,,,,,,
9800,21.5,0.000011,,,,,,,,
9900,21.6,0.000008,,,,,,,,
10000,22.8,0.000040,0.000015,2.597458e-01,1.694734e-02,1.207192e-02,0.000000,2.098331e-01,1.650742e-02,1.202608e-02
10100,23.0,0.000016,,,,,,,,
10200,23.2,0.000034,,,,,,,,
10300,23.4,0.000024,,,,,,,,
10400,23.6,0.000025,,,,,,,,
10500,23.8,0.000019,,,,,,,,
10600,24.0,0.000013,,,,,,,,
10700,24.2,0.000014,,,,,,,,
10800,24.4,0.000015,,,,,,,,
10900,24.6,0.000011,,,,,,,,
11000,24.8,0.000015,,,,,,,,
11100,25.0,0.000038,,,,,,,,
11200,25.2,0.000021,,,,,,,,
11300,25.4,0.000041,,,,,,,,
11400,25.6,0.000013,,,,,,,,
11500,25.8,0.000040,,,,,,,,
11600,26.0,0.000042,,,,,,,,
11700,26.2,0.000014,,,,,,,,
11800,26.4,0.000020,,,,,,,,
11900,26.6,0.000027,,,,,,,,
12000,26.8,0.000015,,,,,,,,
12100,27.0,0.000064,,,,,,,,
12200,27.1,0.000084,,,,,,,,
12300,27.4,0.000039,,,,,,,,
12400,27.5,0.000029,,,,,,,,
12500,27.7,0.000108,,,,,,,,
12600,27.9,0.000024,,,,,,,,
12700,28.1,0.000042,,,,,,,,
12800,28.3,0.000021,,,,,,,,
12900,28.5,0.000009,,,,,,,,
13000,28.7,0.000017,,,,,,,,
13100,28.9,0.000014,,,,,,,,
13200,29.1,0.000010,,,,,,,,
13300,29.3,0.000025,,,,,,,,
13400,29.5,0.000010,,,,,,,,
13500,29.6,0.000031,,,,,,,,
13600,29.8,0.000009,,,,,,,,
13700,30.0,0.000015,,,,,,,,
13800,30.2,0.000013,,,,,,,,
13900,30.4,0.000008,,,,,,,,
14000,30.6,0.000012,,,,,,,,
14100,30.8,0.000009,,,,,,,,
14200,31.0,0.000014,,,,,,,,
14300,31.2,0.000022,,,,,,,,
14400,31.5,0.000013,,,,,,,,
14500,31.7,0.000057,,,,,,,,
14600,31.9,0.000019,,,,,,,,
14700,32.1,0.000009,,,,,,,,
14800,32.3,0.000021,,,,,,,,
14900,32.5,0.000013,,,,,,,,
15000,33.7,0.000043,0.000014,1.847999e-01,1.708028e-02,1.281479e-02,0.000000,1.705520e-01,1.706748e-02,1.285788e-02
15100,33.9,0.000006,,,,,,,,
15200,34.1,0.000013,,,,,,,,
15300,34.3,0.000015,,,,,,,,
15400,34.5,0.000012,,,,,,,,
15500,34.7,0.000010,,,,,,,,
15600,34.9,0.000017,,,,,,,,
15700,35.1,0.000040,,,,,,,,
15800,35.3,0.000038,,,,,,,,
15900,35.5,0.000012,,,,,,,,
16000,35.7,0.000018,,,,,,,,
16100,35.9,0.000008,,,,,,,,
16200,36.0,0.000013,,,,,,,,
16300,36.2,0.000017,,,,,,,,
16400,36.4,0.000035,,,,,,,,
16500,36.6,0.000011,,,,,,,,
16600,36.8,0.000008,,,,,,,,
16700,37.0,0.000024,,,,,,,,
16800,37.2,0.000036,,,,,,,,
16900,37.4,0.000019,,,,,,,,
17000,37.6,0.000033,,,,,,,,
17100,37.8,0.000021,,,,,,,,
17200,38.0,0.000012,,,,,,,,
17300,38.2,0.000011,,,,,,,,
17400,38.4,0.000027,,,,,,,,
17500,38.6,0.000012,,,,,,,,
17600,38.8,0.000018,,,,,,,,
17700,39.0,0.000012,,,,,,,,
17800,39.2,0.000026,,,,,,,,
17900,39.4,0.000052,,,,,,,,
18000,39.6,0.000015,,,,,,,,
18100,39.8,0.000017,,,,,,,,
18200,40.0,0.000007,,,,,,,,
18300,40.2,0.000018,,,,,,,,
18400,40.5,0.000007,,,,,,,,
18500,40.7,0.000020,,,,,,,,
18600,40.9,0.000024,,,,,,,,
18700,41.1,0.000017,,,,,,,,
18800,41.3,0.000055,,,,,,,,
18900,41.5,0.000009,,,,,,,,
19000,41.7,0.000015,,,,,,,,
19100,41.9,0.000010,,,,,,,,
19200,42.1,0.000018,,,,,,,,
19300,42.3,0.000037,,,,,,,,
19400,42.5,0.000008,,,,,,,,
19500,42.7,0.000015,,,,,,,,
19600,42.9,0.000047,,,,,,,,
19700,43.1,0.000020,,,,,,,,
19800,43.3,0.000050,,,,,,,,
19900,43.5,0.000009,,,,,,,,
20000,44.7,0.000043,0.000016,2.016913e-01,1.960450e-02,1.665524e-02,0.000000,1.923744e-01,1.972341e-02,1.713179e-02
20100,44.9,0.000009,,,,,,,,
20200,45.1,0.000023,,,,,,,,
20300,45.3,0.000023,,,,,,,,
20400,45.5,0.000030,,,,,,,,
20500,45.7,0.000021,,,,,,,,
20600,45.9,0.000010,,,,,,,,
20700,46.1,0.000096,,,,,,,,
20800,46.3,0.000007,,,,,,,,
20900,46.5,0.000011,,,,,,,,
21000,46.6,0.000012,,,,,,,,
21100,46.8,0.000014,,,,,,,,
21200,47.0,0.000015,,,,,,,,
21300,47.2,0.000011,,,,,,,,
21400,47.4,0.000019,,,,,,,,
21500,47.6,0.000048,,,,,,,,
21600,47.8,0.000005,,,,,,,,
21700,48.0,0.000010,,,,,,,,
21800,48.2,0.000013,,,,,,,,
21900,48.4,0.000029,,,,,,,,
22000,48.6,0.000009,,,,,,,,
22100,48.8,0.000006,,,,,,,,
22200,49.0,0.000008,,,,,,,,
22300,49.2,0.000007,,,,,,,,
22400,49.4,0.000008,,,,,,,,
22500,49.6,0.000006,,,,,,,,
22600,49.8,0.000017,,,,,,,,
22700,50.0,0.000013,,,,,,,,
22800,50.2,0.000006,,,,,,,,
22900,50.4,0.000008,,,,,,,,
23000,50.6,0.000016,,,,,,,,
23100,50.8,0.000010,,,,,,,,
23200,51.0,0.000020,,,,,,,,
23300,51.2,0.000016,,,,,,,,
23400,51.4,0.000013,,,,,,,,
23500,51.6,0.000027,,,,,,,,
23600,51.7,0.000013,,,,,,,,
23700,51.9,0.000017,,,,,,,,
23800,52.1,0.000008,,,,,,,,
23900,52.3,0.000008,,,,,,,,
