step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.440387,,,,,,,,
200,0.7,0.349135,,,,,,,,
300,0.9,0.313845,,,,,,,,
400,1.1,0.296705,,,,,,,,
500,1.3,0.252464,,,,,,,,
600,1.5,0.048748,,,,,,,,
700,1.7,0.048585,,,,,,,,
800,2.0,0.040984,,,,,,,,
900,2.2,0.045871,,,,,,,,
1000,2.4,0.024395,,,,,,,,
1100,2.6,0.029389,,,,,,,,
1200,2.9,0.027224,,,,,,,,
1300,3.1,0.016272,,,,,,,,
1400,3.3,0.021838,,,,,,,,
1500,3.5,0.011776,,,,,,,,
1600,3.8,0.013072,,,,,,,,
1700,4.0,0.013999,,,,,,,,
1800,4.2,0.008229,,,,,,,,
1900,4.5,0.009994,,,,,,,,
2000,4.7,0.007525,,,,,,,,
2100,4.9,0.011774,,,,,,,,
2200,5.2,0.007794,,,,,,,,
2300,5.4,0.006853,,,,,,,,
2400,5.6,0.007781,,,,,,,,
2500,5.8,0.008023,,,,,,,,
2600,6.1,0.005581,,,,,,,,
2700,6.3,0.009201,,,,,,,,
2800,6.5,0.009582,,,,,,,,
2900,6.7,0.010217,,,,,,,,
3000,7.0,0.011920,,,,,,,,
3100,7.2,0.005479,,,,,,,,
3200,7.4,0.010369,,,,,,,,
3300,7.6,0.007024,,,,,,,,
3400,7.9,0.004943,,,,,,,,
3500,8.1,0.005328,,,,,,,,
3600,8.3,0.006530,,,,,,,,
3700,8.5,0.004403,,,,,,,,
3800,8.8,0.009012,,,,,,,,
3900,9.0,0.004901,,,,,,,,
4000,9.2,0.006017,,,,,,,,
4100,9.5,0.005797,,,,,,,,
4200,9.7,0.004074,,,,,,,,
4300,9.9,0.008316,,,,,,,,
4400,10.2,0.004502,,,,,,,,
4500,10.4,0.004881,,,,,,,,
4600,10.6,0.004154,,,,,,,,
4700,10.8,0.005525,,,,,,,,
4800,11.1,0.004818,,,,,,,,
4900,11.3,0.006529,,,,,,,,
5000,12.7,0.005289,0.006161,3.758641e-01,3.871136e-02,3.434483e-02,0.000000,3.168749e-01,3.715085e-02,3.320348e-02
5100,12.9,0.003449,,,,,,,,
5200,13.1,0.004630,,,,,,,,
5300,13.3,0.010364,,,,,,,,
5400,13.5,0.002904,,,,,,,,
5500,13.7,0.006309,,,,,,,,
5600,13.9,0.004479,,,,,,,,
5700,14.2,0.005562,,,,,,,,
5800,14.4,0.005709,,,,,,,,
5900,14.6,0.002471,,,,,,,,
6000,14.8,0.006245,,,,,,,,
6100,15.0,0.002657,,,,,,,,
6200,15.3,0.003783,,,,,,,,
6300,15.5,0.005293,,,,,,,,
6400,15.7,0.003682,,,,,,,,
6500,15.9,0.004020,,,,,,,,
6600,16.1,0.004652,,,,,,,,
6700,16.4,0.005481,,,,,,,,
6800,16.6,0.003009,,,,,,,,
6900,16.8,0.004850,,,,,,,,
7000,17.1,0.004553,,,,,,,,
7100,17.3,0.003005,,,,,,,,
7200,17.5,0.003196,,,,,,,,
7300,17.8,0.003161,,,,,,,,
7400,18.0,0.002823,,,,,,,,
7500,18.2,0.003042,,,,,,,,
7600,18.5,0.002736,,,,,,,,
7700,18.7,0.002672,,,,,,,,
7800,18.9,0.003321,,,,,,,,
7900,19.2,0.005101,,,,,,,,
8000,19.4,0.005635,,,,,,,,
8100,19.6,0.006373,,,,,,,,
8200,19.8,0.003993,,,,,,,,
8300,20.1,0.003375,,,,,,,,
8400,20.3,0.004414,,,,,,,,
8500,20.5,0.002724,,,,,,,,
8600,20.7,0.003740,,,,,,,,
8700,21.0,0.002385,,,,,,,,
8800,21.2,0.005787,,,,,,,,
8900,21.4,0.003903,,,,,,,,
9000,21.6,0.003542,,,,,,,,
9100,21.9,0.003181,,,,,,,,
9200,22.1,0.002424,,,,,,,,
9300,22.3,0.002794,,,,,,,,
9400,22.5,0.004119,,,,,,,,
9500,22.8,0.003166,,,,,,,,
9600,23.0,0.002739,,,,,,,,
9700,23.2,0.004685,,,,,,,,
9800,23.5,0.002432,,,,,,,,
9900,23.7,0.005483,,,,,,,,
10000,24.9,0.004500,0.003374,2.624715e-01,2.119788e-02,1.635873e-02,0.000000,2.624715e-01,2.129456e-02,1.662740e-02
10100,25.2,0.003286,,,,,,,,
10200,25.4,0.002534,,,,,,,,
10300,25.6,0.003466,,,,,,,,
10400,25.8,0.002297,,,,,,,,
10500,26.0,0.002807,,,,,,,,
10600,26.2,0.002922,,,,,,,,
10700,26.4,0.003532,,,,,,,,
10800,26.6,0.004485,,,,,,,,
10900,26.8,0.004263,,,,,,,,
11000,27.0,0.002659,,,,,,,,
11100,27.3,0.003998,,,,,,,,
11200,27.5,0.003281,,,,,,,,
11300,27.7,0.003282,,,,,,,,
11400,27.9,0.003459,,,,,,,,
11500,28.2,0.005208,,,,,,,,
11600,28.4,0.003527,,,,,,,,
11700,28.6,0.003805,,,,,,,,
11800,28.8,0.003260,,,,,,,,
11900,29.0,0.003942,,,,,,,,
12000,29.3,0.004200,,,,,,,,
12100,29.5,0.002577,,,,,,,,
12200,29.7,0.002183,,,,,,,,
12300,29.9,0.003110,,,,,,,,
12400,30.2,0.004911,,,,,,,,
12500,30.4,0.003074,,,,,,,,
12600,30.6,0.003705,,,,,,,,
12700,30.9,0.002714,,,,,,,,
12800,31.1,0.002774,,,,,,,,
12900,31.3,0.003821,,,,,,,,
13000,31.6,0.002250,,,,,,,,
13100,31.8,0.003259,,,,,,,,
13200,32.0,0.002481,,,,,,,,
13300,32.2,0.002875,,,,,,,,
13400,32.4,0.003697,,,,,,,,
13500,32.7,0.002846,,,,,,,,
13600,32.9,0.002109,,,,,,,,
13700,33.1,0.002752,,,,,,,,
13800,33.3,0.003883,,,,,,,,
13900,33.6,0.003052,,,,,,,,
14000,33.8,0.002802,,,,,,,,
14100,34.0,0.006007,,,,,,,,
14200,34.3,0.003019,,,,,,,,
14300,34.5,0.002466,,,,,,,,
14400,34.7,0.002617,,,,,,,,
14500,34.9,0.002875,,,,,,,,
14600,35.2,0.003242,,,,,,,,
14700,35.4,0.003264,,,,,,,,
14800,35.6,0.002768,,,,,,,,
14900,35.9,0.002747,,,,,,,,
15000,37.1,0.002157,0.002551,2.900230e-01,1.602588e-02,1.307031e-02,0.000000,1.920045e-01,1.550237e-02,1.293213e-02
15100,37.3,0.002595,,,,,,,,
15200,37.5,0.002881,,,,,,,,
15300,37.7,0.002310,,,,,,,,
15400,37.9,0.002655,,,,,,,,
15500,38.1,0.005218,,,,,,,,
15600,38.4,0.003552,,,,,,,,
15700,38.6,0.002540,,,,,,,,
15800,38.8,0.001960,,,,,,,,
15900,39.0,0.002398,,,,,,,,
16000,39.2,0.002383,,,,,,,,
16100,39.5,0.002977,,,,,,,,
16200,39.7,0.003474,,,,,,,,
16300,39.9,0.002928,,,,,,,,
16400,40.2,0.002019,,,,,,,,
16500,40.4,0.004674,,,,,,,,
16600,40.6,0.002172,,,,,,,,
16700,40.8,0.007374,,,,,,,,
16800,41.1,0.001849,,,,,,,,
16900,41.3,0.002812,,,,,,,,
17000,41.5,0.002193,,,,,,,,
17100,41.7,0.002361,,,,,,,,
17200,42.0,0.002249,,,,,,,,
17300,42.2,0.001900,,,,,,,,
17400,42.4,0.004853,,,,,,,,
17500,42.6,0.002711,,,,,,,,
17600,42.9,0.001976,,,,,,,,
17700,43.1,0.002540,,,,,,,,
17800,43.4,0.001949,,,,,,,,
17900,43.6,0.003195,,,,,,,,
18000,43.9,0.003007,,,,,,,,
18100,44.1,0.002134,,,,,,,,
18200,44.3,0.002561,,,,,,,,
18300,44.6,0.002346,,,,,,,,
18400,44.8,0.004404,,,,,,,,
18500,45.0,0.003181,,,,,,,,
18600,45.3,0.004827,,,,,,,,
18700,45.5,0.001728,,,,,,,,
18800,45.7,0.003805,,,,,,,,
18900,45.9,0.001800,,,,,,,,
19000,46.2,0.002484,,,,,,,,
19100,46.4,0.004257,,,,,,,,
19200,46.6,0.002043,,,,,,,,
19300,46.9,0.003565,,,,,,,,
19400,47.1,0.002424,,,,,,,,
19500,47.3,0.003835,,,,,,,,
19600,47.6,0.001902,,,,,,,,
19700,47.8,0.002065,,,,,,,,
19800,48.0,0.002742,,,,,,,,
19900,48.2,0.001929,,,,,,,,
20000,49.5,0.002517,0.002194,2.932379e-01,1.378265e-02,1.198612e-02,0.000000,1.372553e-01,1.338092e-02,1.189066e-02
20100,49.7,0.001583,,,,,,,,
20200,49.9,0.003841,,,,,,,,
20300,50.1,0.002591,,,,,,,,
20400,50.3,0.002792,,,,,,,,
20500,50.5,0.002615,,,,,,,,
20600,50.7,0.002724,,,,,,,,
20700,51.0,0.002295,,,,,,,,
20800,51.2,0.002015,,,,,,,,
20900,51.4,0.003536,,,,,,,,
21000,51.7,0.003192,,,,,,,,
21100,51.9,0.002489,,,,,,,,
21200,52.1,0.002804,,,,,,,,
21300,52.3,0.004820,,,,,,,,
21400,52.6,0.003998,,,,,,,,
21500,52.8,0.002308,,,,,,,,
21600,53.0,0.002048,,,,,,,,
21700,53.3,0.003352,,,,,,,,
21800,53.5,0.003855,,,,,,,,
21900,53.7,0.002878,,,,,,,,
22000,53.9,0.001608,,,,,,,,
22100,54.2,0.002466,,,,,,,,
22200,54.4,0.003889,,,,,,,,
22300,54.6,0.002156,,,,,,,,
22400,54.8,0.002302,,,,,,,,
22500,55.1,0.002735,,,,,,,,
22600,55.3,0.002529,,,,,,,,
22700,55.5,0.003708,,,,,,,,
22800,55.8,0.002924,,,,,,,,
22900,56.0,0.001572,,,,,,,,
23000,56.2,0.002037,,,,,,,,
23100,56.5,0.002905,,,,,,,,
23200,56.7,0.001659,,,,,,,,
23300,56.9,0.002067,,,,,,,,
23400,57.2,0.003745,,,,,,,,
23500,57.4,0.002348,,,,,,,,
23600,57.6,0.001808,,,,,,,,
23700,57.9,0.003086,,,,,,,,
23800,58.1,0.002734,,,,,,,,
23900,58.3,0.002167,,,,,,,,
24000,58.5,0.001697,,,,,,,,
24100,58.8,0.003780,,,,,,,,
24200,59.0,0.003860,,,,,,,,
24300,59.2,0.002656,,,,,,,,
24400,59.4,0.003659,,,,,,,,
24500,59.7,0.001963,,,,,,,,
24600,59.9,0.002809,,,,,,,,
24700,60.1,0.002961,,,,,,,,
24800,60.4,0.004209,,,,,,,,
24900,60.6,0.001878,,,,,,,,
25000,61.8,0.002003,0.002833,2.441134e-01,1.780218e-02,1.545649e-02,0.000000,1.773147e-01,1.752243e-02,1.563817e-02
25100,62.0,0.003090,,,,,,,,
25200,62.2,0.001582,,,,,,,,
25300,62.4,0.002256,,,,,,,,
25400,62.6,0.002989,,,,,,,,
25500,62.9,0.002425,,,,,,,,
25600,63.1,0.002806,,,,,,,,
25700,63.3,0.001877,,,,,,,,
25800,63.5,0.001709,,,,,,,,
25900,63.8,0.001820,,,,,,,,
26000,64.0,0.001845,,,,,,,,
26100,64.2,0.003273,,,,,,,,
26200,64.4,0.003687,,,,,,,,
26300,64.7,0.001609,,,,,,,,
26400,64.9,0.002449,,,,,,,,
26500,65.1,0.001750,,,,,,,,
26600,65.4,0.002103,,,,,,,,
26700,65.6,0.001879,,,,,,,,
26800,65.8,0.001974,,,,,,,,
26900,66.0,0.002790,,,,,,,,
27000,66.3,0.004295,,,,,,,,
27100,66.5,0.001924,,,,,,,,
27200,66.7,0.003574,,,,,,,,
27300,67.0,0.001990,,,,,,,,
27400,67.2,0.002374,,,,,,,,
27500,67.4,0.002106,,,,,,,,
27600,67.6,0.003268,,,,,,,,
27700,67.9,0.003534,,,,,,,,
27800,68.1,0.002381,,,,,,,,
27900,68.3,0.002197,,,,,,,,
28000,68.5,0.002178,,,,,,,,
28100,68.8,0.002786,,,,,,,,
28200,69.0,0.002632,,,,,,,,
28300,69.2,0.003874,,,,,,,,
28400,69.4,0.002629,,,,,,,,
28500,69.6,0.001645,,,,,,,,
28600,69.9,0.002691,,,,,,,,
28700,70.1,0.002351,,,,,,,,
28800,70.3,0.001776,,,,,,,,
28900,70.5,0.002190,,,,,,,,
29000,70.8,0.001565,,,,,,,,
29100,71.0,0.001755,,,,,,,,
29200,71.2,0.002714,,,,,,,,
29300,71.5,0.003023,,,,,,,,
29400,71.7,0.002554,,,,,,,,
29500,71.9,0.003447,,,,,,,,
29600,72.1,0.003317,,,,,,,,
29700,72.4,0.002710,,,,,,,,
29800,72.6,0.002108,,,,,,,,
29900,72.8,0.003330,,,,,,,,
