step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.248939,,,,,,,,
200,0.8,0.158270,,,,,,,,
300,1.1,0.120778,,,,,,,,
400,1.4,0.105464,,,,,,,,
500,1.7,0.101253,,,,,,,,
600,2.0,0.005740,,,,,,,,
700,2.4,0.003738,,,,,,,,
800,2.7,0.002144,,,,,,,,
900,3.0,0.002298,,,,,,,,
1000,3.3,0.001521,,,,,,,,
1100,3.6,0.001242,,,,,,,,
1200,3.9,0.001301,,,,,,,,
1300,4.2,0.001345,,,,,,,,
1400,4.6,0.001414,,,,,,,,
1500,4.9,0.000843,,,,,,,,
1600,5.2,0.000345,,,,,,,,
1700,5.5,0.000294,,,,,,,,
1800,5.8,0.000205,,,,,,,,
1900,6.1,0.000164,,,,,,,,
2000,6.4,0.000247,,,,,,,,
2100,6.8,0.000160,,,,,,,,
2200,7.1,0.000249,,,,,,,,
2300,7.4,0.000154,,,,,,,,
2400,7.7,0.000118,,,,,,,,
2500,8.0,0.000089,,,,,,,,
2600,8.3,0.000088,,,,,,,,
2700,8.6,0.000106,,,,,,,,
2800,8.9,0.000188,,,,,,,,
2900,9.3,0.000081,,,,,,,,
3000,9.6,0.000072,,,,,,,,
3100,9.9,0.000141,,,,,,,,
3200,10.2,0.000057,,,,,,,,
3300,10.5,0.000115,,,,,,,,
3400,10.8,0.000163,,,,,,,,
3500,11.1,0.000092,,,,,,,,
3600,11.4,0.000247,,,,,,,,
3700,11.7,0.000085,,,,,,,,
3800,12.0,0.000259,,,,,,,,
3900,12.3,0.000113,,,,,,,,
4000,12.6,0.000056,,,,,,,,
4100,12.9,0.000056,,,,,,,,
4200,13.2,0.000046,,,,,,,,
4300,13.6,0.000080,,,,,,,,
4400,13.9,0.000077,,,,,,,,
4500,14.2,0.000048,,,,,,,,
4600,14.5,0.000083,,,,,,,,
4700,14.8,0.000067,,,,,,,,
4800,15.1,0.000060,,,,,,,,
4900,15.4,0.000029,,,,,,,,
5000,17.1,0.000044,0.000063,3.020415e-01,4.072081e-02,3.628362e-02,0.000000,2.452235e-01,4.087872e-02,3.633008e-02
5100,17.3,0.000073,,,,,,,,
5200,17.6,0.000068,,,,,,,,
5300,17.9,0.000042,,,,,,,,
5400,18.2,0.000047,,,,,,,,
5500,18.5,0.000074,,,,,,,,
5600,18.8,0.000027,,,,,,,,
5700,19.0,0.000043,,,,,,,,
5800,19.3,0.000038,,,,,,,,
5900,19.6,0.000028,,,,,,,,
6000,19.9,0.000035,,,,,,,,
6100,20.2,0.000037,,,,,,,,
6200,20.5,0.000036,,,,,,,,
6300,20.8,0.000049,,,,,,,,
6400,21.1,0.000127,,,,,,,,
6500,21.5,0.000037,,,,,,,,
6600,21.8,0.000030,,,,,,,,
6700,22.1,0.000018,,,,,,,,
6800,22.4,0.000038,,,,,,,,
6900,22.7,0.000101,,,,,,,,
7000,23.0,0.000020,,,,,,,,
7100,23.3,0.000029,,,,,,,,
7200,23.5,0.000023,,,,,,,,
7300,23.8,0.000020,,,,,,,,
7400,24.1,0.000017,,,,,,,,
7500,24.4,0.000054,,,,,,,,
7600,24.7,0.000024,,,,,,,,
7700,25.0,0.000029,,,,,,,,
7800,25.3,0.000025,,,,,,,,
7900,25.6,0.000018,,,,,,,,
8000,25.9,0.000031,,,,,,,,
8100,26.2,0.000018,,,,,,,,
8200,26.5,0.000019,,,,,,,,
8300,26.8,0.000014,,,,,,,,
8400,27.1,0.000031,,,,,,,,
8500,27.4,0.000058,,,,,,,,
8600,27.7,0.000042,,,,,,,,
8700,28.0,0.000015,,,,,,,,
8800,28.3,0.000022,,,,,,,,
8900,28.6,0.000061,,,,,,,,
9000,28.9,0.000031,,,,,,,,
9100,29.2,0.000031,,,,,,,,
9200,29.5,0.000047,,,,,,,,
9300,29.8,0.000018,,,,,,,,
9400,30.1,0.000027,,,,,,,,
9500,30.5,0.000015,,,,,,,,
9600,30.7,0.000018,,,,,,,,
9700,31.0,0.000028,,,,,,,,
9800,31.3,0.000031,,,,,,,,
9900,31.6,0.000021,,,,,,,,
10000,33.1,0.000034,0.000029,1.729216e-01,2.731727e-02,2.323902e-02,0.000000,1.390296e-01,2.692921e-02,2.269145e-02
10100,33.3,0.000014,,,,,,,,
10200,33.6,0.000014,,,,,,,,
10300,33.9,0.000016,,,,,,,,
10400,34.2,0.000015,,,,,,,,
