step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.170797,,,,,,,,
200,0.8,0.122376,,,,,,,,
300,1.1,0.081803,,,,,,,,
400,1.4,0.088783,,,,,,,,
500,1.7,0.021181,,,,,,,,
600,2.0,0.003127,,,,,,,,
700,2.3,0.001213,,,,,,,,
800,2.6,0.000471,,,,,,,,
900,2.9,0.000325,,,,,,,,
1000,3.2,0.000238,,,,,,,,
1100,3.5,0.000198,,,,,,,,
1200,3.8,0.000104,,,,,,,,
1300,4.1,0.000125,,,,,,,,
1400,4.4,0.000076,,,,,,,,
1500,4.7,0.000057,,,,,,,,
1600,5.0,0.000121,,,,,,,,
1700,5.3,0.000044,,,,,,,,
1800,5.6,0.000055,,,,,,,,
1900,5.9,0.000024,,,,,,,,
2000,6.2,0.000052,,,,,,,,
2100,6.5,0.000088,,,,,,,,
2200,6.8,0.000064,,,,,,,,
2300,7.1,0.000028,,,,,,,,
2400,7.4,0.000033,,,,,,,,
2500,7.7,0.000041,,,,,,,,
2600,8.0,0.000024,,,,,,,,
2700,8.3,0.000027,,,,,,,,
2800,8.6,0.000042,,,,,,,,
2900,8.9,0.000038,,,,,,,,
3000,9.2,0.000044,,,,,,,,
3100,9.5,0.000022,,,,,,,,
3200,9.8,0.000026,,,,,,,,
3300,10.2,0.000048,,,,,,,,
3400,10.5,0.000021,,,,,,,,
3500,10.8,0.000042,,,,,,,,
3600,11.1,0.000025,,,,,,,,
3700,11.4,0.000031,,,,,,,,
3800,11.7,0.000041,,,,,,,,
3900,12.0,0.000044,,,,,,,,
4000,12.3,0.000017,,,,,,,,
4100,12.6,0.000023,,,,,,,,
4200,12.9,0.000039,,,,,,,,
4300,13.2,0.000020,,,,,,,,
4400,13.5,0.000053,,,,,,,,
4500,13.8,0.000019,,,,,,,,
4600,14.1,0.000025,,,,,,,,
4700,14.3,0.000023,,,,,,,,
4800,14.6,0.000021,,,,,,,,
4900,14.9,0.000036,,,,,,,,
5000,16.5,0.000033,0.000027,1.035400e+00,2.661487e-01,2.301969e-01,0.000000,1.030736e+00,2.586768e-01,2.252626e-01
5100,16.7,0.000026,,,,,,,,
5200,17.0,0.000019,,,,,,,,
5300,17.3,0.000017,,,,,,,,
5400,17.6,0.000017,,,,,,,,
5500,17.9,0.000026,,,,,,,,
5600,18.2,0.000018,,,,,,,,
5700,18.5,0.000014,,,,,,,,
5800,18.8,0.000022,,,,,,,,
5900,19.1,0.000022,,,,,,,,
6000,19.4,0.000015,,,,,,,,
6100,19.7,0.000019,,,,,,,,
6200,20.0,0.000016,,,,,,,,
6300,20.3,0.000028,,,,,,,,
6400,20.6,0.000015,,,,,,,,
6500,20.9,0.000016,,,,,,,,
6600,21.2,0.000023,,,,,,,,
6700,21.5,0.000014,,,,,,,,
6800,21.8,0.000015,,,,,,,,
6900,22.1,0.000029,,,,,,,,
7000,22.4,0.000019,,,,,,,,
7100,22.7,0.000021,,,,,,,,
7200,23.0,0.000016,,,,,,,,
7300,23.3,0.000021,,,,,,,,
7400,23.6,0.000016,,,,,,,,
7500,23.9,0.000017,,,,,,,,
7600,24.2,0.000046,,,,,,,,
7700,24.5,0.000014,,,,,,,,
7800,24.8,0.000023,,,,,,,,
7900,25.1,0.000018,,,,,,,,
8000,25.4,0.000016,,,,,,,,
8100,25.7,0.000021,,,,,,,,
8200,26.0,0.000018,,,,,,,,
8300,26.3,0.000015,,,,,,,,
8400,26.6,0.000018,,,,,,,,
8500,26.9,0.000017,,,,,,,,
8600,27.2,0.000017,,,,,,,,
8700,27.5,0.000018,,,,,,,,
8800,27.8,0.000016,,,,,,,,
8900,28.1,0.000013,,,,,,,,
9000,28.4,0.000015,,,,,,,,
9100,28.7,0.000016,,,,,,,,
9200,29.1,0.000015,,,,,,,,
9300,29.4,0.000013,,,,,,,,
9400,29.7,0.000016,,,,,,,,
9500,30.0,0.000024,,,,,,,,
9600,30.3,0.000016,,,,,,,,
9700,30.6,0.000015,,,,,,,,
9800,30.9,0.000018,,,,,,,,
9900,31.2,0.000020,,,,,,,,
10000,32.6,0.000022,0.000020,1.096141e+00,2.245200e-01,1.892994e-01,0.000000,9.442373e-01,2.113686e-01,1.800876e-01
10100,32.8,0.000018,,,,,,,,
10200,33.1,0.000015,,,,,,,,
10300,33.4,0.000018,,,,,,,,
10400,33.7,0.000015,,,,,,,,
10500,34.0,0.000014,,,,,,,,
10600,34.3,0.000017,,,,,,,,
10700,34.6,0.000014,,,,,,,,
10800,34.9,0.000015,,,,,,,,
10900,35.2,0.000016,,,,,,,,
11000,35.5,0.000018,,,,,,,,
11100,35.8,0.000023,,,,,,,,
11200,36.1,0.000015,,,,,,,,
11300,36.4,0.000016,,,,,,,,
11400,36.7,0.000014,,,,,,,,
11500,37.0,0.000014,,,,,,,,
11600,37.4,0.000019,,,,,,,,
11700,37.7,0.000018,,,,,,,,
11800,38.0,0.000017,,,,,,,,
11900,38.3,0.000015,,,,,,,,
12000,38.6,0.000016,,,,,,,,
12100,38.8,0.000018,,,,,,,,
12200,39.1,0.000014,,,,,,,,
12300,39.4,0.000018,,,,,,,,
12400,39.7,0.000016,,,,,,,,
12500,40.0,0.000019,,,,,,,,
12600,40.3,0.000014,,,,,,,,
12700,40.6,0.000017,,,,,,,,
12800,40.9,0.000015,,,,,,,,
12900,41.2,0.000014,,,,,,,,
13000,41.6,0.000017,,,,,,,,
13100,41.9,0.000014,,,,,,,,
13200,42.2,0.000027,,,,,,,,
13300,42.5,0.000020,,,,,,,,
13400,42.8,0.000021,,,,,,,,
13500,43.1,0.000015,,,,,,,,
13600,43.4,0.000018,,,,,,,,
13700,43.6,0.000015,,,,,,,,
13800,44.0,0.000014,,,,,,,,
13900,44.2,0.000015,,,,,,,,
14000,44.6,0.000014,,,,,,,,
14100,44.9,0.000014,,,,,,,,
14200,45.2,0.000014,,,,,,,,
14300,45.5,0.000014,,,,,,,,
14400,45.8,0.000021,,,,,,,,
14500,46.1,0.000016,,,,,,,,
14600,46.4,0.000015,,,,,,,,
14700,46.7,0.000015,,,,,,,,
14800,47.0,0.000014,,,,,,,,
14900,47.3,0.000024,,,,,,,,
15000,48.7,0.000017,0.000014,8.904179e-01,1.824535e-01,1.484007e-01,0.000000,7.614999e-01,1.708536e-01,1.390311e-01
15100,48.9,0.000019,,,,,,,,
15200,49.2,0.000013,,,,,,,,
15300,49.5,0.000016,,,,,,,,
15400,49.8,0.000016,,,,,,,,
15500,50.1,0.000015,,,,,,,,
15600,50.4,0.000015,,,,,,,,
15700,50.7,0.000023,,,,,,,,
15800,51.0,0.000016,,,,,,,,
15900,51.3,0.000016,,,,,,,,
16000,51.6,0.000016,,,,,,,,
16100,51.9,0.000021,,,,,,,,
16200,52.2,0.000024,,,,,,,,
16300,52.5,0.000016,,,,,,,,
16400,52.8,0.000018,,,,,,,,
16500,53.1,0.000015,,,,,,,,
16600,53.4,0.000020,,,,,,,,
