step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.256024,,,,,,,,
200,0.8,0.153051,,,,,,,,
300,1.1,0.121125,,,,,,,,
400,1.4,0.109558,,,,,,,,
500,1.7,0.105508,,,,,,,,
600,2.0,0.107761,,,,,,,,
700,2.3,0.110317,,,,,,,,
800,2.6,0.108566,,,,,,,,
900,2.9,0.103816,,,,,,,,
1000,3.2,0.103903,,,,,,,,
1100,3.5,0.095320,,,,,,,,
1200,3.8,0.077507,,,,,,,,
1300,4.1,0.060388,,,,,,,,
1400,4.3,0.059087,,,,,,,,
1500,4.6,0.046753,,,,,,,,
1600,4.9,0.041113,,,,,,,,
1700,5.2,0.041624,,,,,,,,
1800,5.5,0.028394,,,,,,,,
1900,5.8,0.029811,,,,,,,,
2000,6.1,0.035106,,,,,,,,
2100,6.4,0.025308,,,,,,,,
2200,6.7,0.029426,,,,,,,,
2300,7.0,0.027669,,,,,,,,
2400,7.2,0.034939,,,,,,,,
2500,7.5,0.020907,,,,,,,,
2600,7.8,0.037235,,,,,,,,
2700,8.1,0.031970,,,,,,,,
2800,8.4,0.023994,,,,,,,,
2900,8.7,0.036305,,,,,,,,
3000,9.0,0.035449,,,,,,,,
3100,9.3,0.037294,,,,,,,,
3200,9.6,0.030877,,,,,,,,
3300,9.9,0.028683,,,,,,,,
3400,10.2,0.026710,,,,,,,,
3500,10.5,0.034698,,,,,,,,
3600,10.8,0.028105,,,,,,,,
3700,11.0,0.028620,,,,,,,,
3800,11.3,0.021913,,,,,,,,
3900,11.6,0.036676,,,,,,,,
4000,11.9,0.019666,,,,,,,,
4100,12.2,0.034228,,,,,,,,
4200,12.5,0.027152,,,,,,,,
4300,12.8,0.024437,,,,,,,,
4400,13.1,0.015504,,,,,,,,
4500,13.4,0.022003,,,,,,,,
4600,13.7,0.024965,,,,,,,,
4700,14.0,0.035642,,,,,,,,
4800,14.3,0.022308,,,,,,,,
4900,14.6,0.033060,,,,,,,,
5000,16.1,0.023520,0.026498,5.168093e+00,6.239939e-01,3.728597e-01,0.000000,5.168093e+00,6.173688e-01,3.697511e-01
5100,16.4,0.021877,,,,,,,,
5200,16.7,0.021662,,,,,,,,
5300,16.9,0.026587,,,,,,,,
5400,17.2,0.024373,,,,,,,,
5500,17.5,0.025590,,,,,,,,
5600,17.8,0.023816,,,,,,,,
5700,18.1,0.024279,,,,,,,,
5800,18.4,0.029904,,,,,,,,
5900,18.7,0.016202,,,,,,,,
6000,19.0,0.039200,,,,,,,,
6100,19.3,0.029497,,,,,,,,
6200,19.6,0.024555,,,,,,,,
6300,19.9,0.020171,,,,,,,,
6400,20.2,0.021097,,,,,,,,
6500,20.5,0.023671,,,,,,,,
6600,20.8,0.019100,,,,,,,,
6700,21.1,0.024798,,,,,,,,
6800,21.4,0.019431,,,,,,,,
6900,21.7,0.022531,,,,,,,,
7000,21.9,0.020574,,,,,,,,
7100,22.2,0.019846,,,,,,,,
7200,22.5,0.013508,,,,,,,,
7300,22.8,0.020923,,,,,,,,
7400,23.1,0.018488,,,,,,,,
7500,23.4,0.024896,,,,,,,,
7600,23.7,0.016941,,,,,,,,
7700,24.0,0.019267,,,,,,,,
7800,24.3,0.013994,,,,,,,,
7900,24.6,0.017959,,,,,,,,
8000,24.8,0.023003,,,,,,,,
8100,25.1,0.017391,,,,,,,,
8200,25.4,0.018940,,,,,,,,
8300,25.7,0.009484,,,,,,,,
8400,26.0,0.015708,,,,,,,,
8500,26.3,0.016525,,,,,,,,
8600,26.6,0.016952,,,,,,,,
8700,26.8,0.020322,,,,,,,,
8800,27.1,0.016872,,,,,,,,
8900,27.4,0.016547,,,,,,,,
9000,27.7,0.015271,,,,,,,,
9100,28.0,0.013140,,,,,,,,
9200,28.3,0.014838,,,,,,,,
9300,28.6,0.021871,,,,,,,,
9400,28.9,0.019561,,,,,,,,
9500,29.2,0.021470,,,,,,,,
9600,29.5,0.018979,,,,,,,,
9700,29.8,0.015183,,,,,,,,
9800,30.1,0.020517,,,,,,,,
9900,30.4,0.017668,,,,,,,,
10000,31.8,0.017167,0.015646,4.614105e+00,5.047401e-01,3.363229e-01,0.000000,4.614105e+00,4.972840e-01,3.284137e-01
10100,32.0,0.022277,,,,,,,,
10200,32.3,0.018135,,,,,,,,
10300,32.6,0.014249,,,,,,,,
