step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.6,0.197993,,,,,,,,
200,0.9,0.138536,,,,,,,,
300,1.3,0.088955,,,,,,,,
400,1.6,0.079287,,,,,,,,
500,1.9,0.061971,,,,,,,,
600,2.3,0.005621,,,,,,,,
700,2.6,0.001640,,,,,,,,
800,2.8,0.000690,,,,,,,,
900,3.2,0.000370,,,,,,,,
1000,3.5,0.000433,,,,,,,,
1100,3.9,0.000130,,,,,,,,
1200,4.2,0.000118,,,,,,,,
1300,4.5,0.000102,,,,,,,,
1400,4.7,0.000080,,,,,,,,
1500,5.1,0.000070,,,,,,,,
1600,5.4,0.000055,,,,,,,,
1700,5.8,0.000067,,,,,,,,
1800,6.1,0.000037,,,,,,,,
1900,6.4,0.000100,,,,,,,,
2000,6.8,0.000051,,,,,,,,
2100,7.1,0.000075,,,,,,,,
2200,7.4,0.000033,,,,,,,,
2300,7.7,0.000033,,,,,,,,
2400,8.0,0.000034,,,,,,,,
2500,8.4,0.000056,,,,,,,,
2600,8.7,0.000032,,,,,,,,
2700,9.0,0.000099,,,,,,,,
2800,9.3,0.000041,,,,,,,,
2900,9.6,0.000025,,,,,,,,
3000,9.8,0.000031,,,,,,,,
3100,10.2,0.000063,,,,,,,,
3200,10.4,0.000059,,,,,,,,
3300,10.7,0.000045,,,,,,,,
3400,11.1,0.000029,,,,,,,,
3500,11.3,0.000024,,,,,,,,
3600,11.6,0.000023,,,,,,,,
3700,11.9,0.000040,,,,,,,,
3800,12.2,0.000063,,,,,,,,
3900,12.5,0.000038,,,,,,,,
4000,12.8,0.000033,,,,,,,,
4100,13.1,0.000021,,,,,,,,
4200,13.4,0.000018,,,,,,,,
4300,13.7,0.000025,,,,,,,,
4400,14.0,0.000036,,,,,,,,
4500,14.2,0.000016,,,,,,,,
4600,14.6,0.000045,,,,,,,,
4700,14.9,0.000042,,,,,,,,
4800,15.2,0.000018,,,,,,,,
4900,15.5,0.000035,,,,,,,,
5000,17.2,0.000021,0.000019,1.471400e+00,3.422240e-01,2.839153e-01,0.000000,1.355693e+00,3.178862e-01,2.670024e-01
5100,17.4,0.000024,,,,,,,,
5200,17.7,0.000026,,,,,,,,
5300,18.0,0.000030,,,,,,,,
5400,18.3,0.000030,,,,,,,,
5500,18.7,0.000019,,,,,,,,
5600,19.0,0.000019,,,,,,,,
5700,19.3,0.000017,,,,,,,,
5800,19.6,0.000021,,,,,,,,
5900,19.9,0.000019,,,,,,,,
6000,20.2,0.000019,,,,,,,,
6100,20.6,0.000022,,,,,,,,
6200,20.9,0.000017,,,,,,,,
6300,21.3,0.000016,,,,,,,,
