step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.325651,,,,,,,,
200,0.8,0.275626,,,,,,,,
300,1.1,0.110509,,,,,,,,
400,1.4,0.104402,,,,,,,,
500,1.7,0.107946,,,,,,,,
600,2.0,0.002754,,,,,,,,
700,2.3,0.001410,,,,,,,,
800,2.6,0.001020,,,,,,,,
900,2.9,0.000830,,,,,,,,
1000,3.2,0.000703,,,,,,,,
1100,3.5,0.000654,,,,,,,,
1200,3.8,0.000645,,,,,,,,
1300,4.1,0.000459,,,,,,,,
1400,4.4,0.000337,,,,,,,,
1500,4.7,0.000228,,,,,,,,
1600,4.9,0.000231,,,,,,,,
1700,5.2,0.000276,,,,,,,,
1800,5.5,0.000308,,,,,,,,
1900,5.8,0.000172,,,,,,,,
2000,6.1,0.000218,,,,,,,,
2100,6.4,0.000109,,,,,,,,
2200,6.7,0.000166,,,,,,,,
2300,7.0,0.000128,,,,,,,,
2400,7.3,0.000114,,,,,,,,
2500,7.6,0.000107,,,,,,,,
2600,7.9,0.000098,,,,,,,,
2700,8.2,0.000202,,,,,,,,
2800,8.5,0.000109,,,,,,,,
2900,8.8,0.000177,,,,,,,,
3000,9.1,0.000089,,,,,,,,
3100,9.4,0.000145,,,,,,,,
3200,9.7,0.000103,,,,,,,,
3300,10.0,0.000110,,,,,,,,
3400,10.3,0.000100,,,,,,,,
3500,10.6,0.000073,,,,,,,,
3600,10.9,0.000109,,,,,,,,
3700,11.2,0.000102,,,,,,,,
3800,11.4,0.000078,,,,,,,,
3900,11.7,0.000098,,,,,,,,
4000,12.0,0.000079,,,,,,,,
4100,12.3,0.000090,,,,,,,,
4200,12.6,0.000095,,,,,,,,
4300,12.9,0.000104,,,,,,,,
4400,13.2,0.000070,,,,,,,,
4500,13.5,0.000093,,,,,,,,
4600,13.8,0.000067,,,,,,,,
4700,14.1,0.000069,,,,,,,,
4800,14.4,0.000089,,,,,,,,
4900,14.7,0.000057,,,,,,,,
5000,16.3,0.000074,0.000062,3.187824e-01,3.594306e-02,2.621143e-02,0.000000,2.592987e-01,3.440933e-02,2.493401e-02
5100,16.6,0.000058,,,,,,,,
5200,16.9,0.000067,,,,,,,,
5300,17.2,0.000049,,,,,,,,
5400,17.5,0.000065,,,,,,,,
5500,17.8,0.000043,,,,,,,,
5600,18.1,0.000067,,,,,,,,
5700,18.3,0.000047,,,,,,,,
5800,18.6,0.000077,,,,,,,,
5900,18.9,0.000052,,,,,,,,
6000,19.2,0.000041,,,,,,,,
6100,19.5,0.000041,,,,,,,,
6200,19.8,0.000041,,,,,,,,
6300,20.1,0.000047,,,,,,,,
6400,20.4,0.000047,,,,,,,,
6500,20.7,0.000038,,,,,,,,
6600,21.0,0.000059,,,,,,,,
6700,21.3,0.000045,,,,,,,,
6800,21.6,0.000059,,,,,,,,
6900,21.9,0.000064,,,,,,,,
7000,22.2,0.000045,,,,,,,,
7100,22.5,0.000041,,,,,,,,
7200,22.8,0.000044,,,,,,,,
7300,23.1,0.000026,,,,,,,,
7400,23.4,0.000032,,,,,,,,
7500,23.7,0.000027,,,,,,,,
7600,24.0,0.000050,,,,,,,,
7700,24.3,0.000027,,,,,,,,
7800,24.6,0.000050,,,,,,,,
7900,24.9,0.000044,,,,,,,,
8000,25.2,0.000037,,,,,,,,
8100,25.5,0.000084,,,,,,,,
8200,25.8,0.000042,,,,,,,,
8300,26.1,0.000025,,,,,,,,
8400,26.4,0.000054,,,,,,,,
8500,26.7,0.000037,,,,,,,,
8600,27.0,0.000043,,,,,,,,
8700,27.2,0.000065,,,,,,,,
8800,27.5,0.000055,,,,,,,,
8900,27.8,0.000035,,,,,,,,
9000,28.1,0.000045,,,,,,,,
9100,28.4,0.000036,,,,,,,,
9200,28.7,0.000033,,,,,,,,
9300,29.0,0.000021,,,,,,,,
9400,29.3,0.000022,,,,,,,,
9500,29.6,0.000023,,,,,,,,
9600,29.9,0.000033,,,,,,,,
9700,30.2,0.000025,,,,,,,,
9800,30.5,0.000041,,,,,,,,
9900,30.8,0.000021,,,,,,,,
10000,32.2,0.000050,0.000024,2.378097e-01,2.276754e-02,1.724313e-02,0.000000,1.807699e-01,2.186709e-02,1.675413e-02
10100,32.5,0.000046,,,,,,,,
10200,32.7,0.000085,,,,,,,,
10300,33.0,0.000048,,,,,,,,
10400,33.3,0.000029,,,,,,,,
10500,33.6,0.000020,,,,,,,,
10600,33.9,0.000021,,,,,,,,
10700,34.2,0.000066,,,,,,,,
10800,34.5,0.000070,,,,,,,,
10900,34.8,0.000032,,,,,,,,
11000,35.1,0.000029,,,,,,,,
11100,35.4,0.000023,,,,,,,,
11200,35.7,0.000027,,,,,,,,
11300,35.9,0.000024,,,,,,,,
11400,36.2,0.000017,,,,,,,,
11500,36.5,0.000056,,,,,,,,
11600,36.8,0.000023,,,,,,,,
11700,37.1,0.000025,,,,,,,,
11800,37.4,0.000039,,,,,,,,
11900,37.7,0.000018,,,,,,,,
12000,38.0,0.000018,,,,,,,,
12100,38.3,0.000023,,,,,,,,
12200,38.6,0.000029,,,,,,,,
12300,38.9,0.000042,,,,,,,,
12400,39.1,0.000033,,,,,,,,
12500,39.4,0.000034,,,,,,,,
12600,39.7,0.000024,,,,,,,,
12700,40.0,0.000029,,,,,,,,
12800,40.3,0.000031,,,,,,,,
12900,40.6,0.000030,,,,,,,,
13000,40.9,0.000037,,,,,,,,
13100,41.2,0.000045,,,,,,,,
13200,41.5,0.000032,,,,,,,,
13300,41.7,0.000020,,,,,,,,
13400,42.0,0.000023,,,,,,,,
13500,42.3,0.000057,,,,,,,,
13600,42.6,0.000026,,,,,,,,
13700,42.9,0.000016,,,,,,,,
13800,43.2,0.000028,,,,,,,,
13900,43.5,0.000022,,,,,,,,
14000,43.8,0.000044,,,,,,,,
14100,44.1,0.000022,,,,,,,,
14200,44.4,0.000022,,,,,,,,
14300,44.7,0.000031,,,,,,,,
14400,45.0,0.000027,,,,,,,,
14500,45.3,0.000025,,,,,,,,
14600,45.6,0.000016,,,,,,,,
14700,45.9,0.000091,,,,,,,,
14800,46.2,0.000025,,,,,,,,
14900,46.5,0.000043,,,,,,,,
15000,47.9,0.000027,0.000019,2.364627e-01,2.045372e-02,1.656379e-02,0.000000,2.175757e-01,1.953944e-02,1.588855e-02
15100,48.2,0.000019,,,,,,,,
15200,48.4,0.000038,,,,,,,,
15300,48.7,0.000037,,,,,,,,
15400,49.0,0.000023,,,,,,,,
15500,49.3,0.000025,,,,,,,,
15600,49.6,0.000023,,,,,,,,
15700,49.9,0.000012,,,,,,,,
15800,50.2,0.000028,,,,,,,,
15900,50.5,0.000035,,,,,,,,
16000,50.8,0.000020,,,,,,,,
16100,51.1,0.000031,,,,,,,,
16200,51.4,0.000053,,,,,,,,
16300,51.7,0.000039,,,,,,,,
16400,52.0,0.000021,,,,,,,,
16500,52.3,0.000018,,,,,,,,
16600,52.6,0.000024,,,,,,,,
16700,52.9,0.000024,,,,,,,,
16800,53.2,0.000017,,,,,,,,
16900,53.5,0.000022,,,,,,,,
17000,53.8,0.000051,,,,,,,,
17100,54.1,0.000024,,,,,,,,
17200,54.4,0.000029,,,,,,,,
17300,54.7,0.000025,,,,,,,,
17400,55.0,0.000033,,,,,,,,
17500,55.3,0.000021,,,,,,,,
17600,55.6,0.000075,,,,,,,,
17700,55.9,0.000072,,,,,,,,
17800,56.2,0.000020,,,,,,,,
17900,56.5,0.000021,,,,,,,,
18000,56.8,0.000026,,,,,,,,
18100,57.1,0.000022,,,,,,,,
18200,57.3,0.000025,,,,,,,,
18300,57.6,0.000016,,,,,,,,
18400,57.9,0.000035,,,,,,,,
18500,58.2,0.000033,,,,,,,,
18600,58.5,0.000028,,,,,,,,
18700,58.8,0.000017,,,,,,,,
18800,59.1,0.000021,,,,,,,,
18900,59.4,0.000018,,,,,,,,
19000,59.7,0.000020,,,,,,,,
19100,60.0,0.000016,,,,,,,,
19200,60.3,0.000014,,,,,,,,
19300,60.6,0.000029,,,,,,,,
19400,60.9,0.000026,,,,,,,,
19500,61.2,0.000031,,,,,,,,
19600,61.5,0.000044,,,,,,,,
19700,61.8,0.000012,,,,,,,,
19800,62.1,0.000025,,,,,,,,
19900,62.4,0.000021,,,,,,,,
