step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,1.6,0.100166,,,,,,,,
200,1.8,0.111047,,,,,,,,
300,2.0,0.072751,,,,,,,,
400,2.2,0.033073,,,,,,,,
500,2.4,0.020020,,,,,,,,
600,2.6,0.008144,,,,,,,,
700,2.8,0.004139,,,,,,,,
800,3.0,0.002352,,,,,,,,
900,3.3,0.001727,,,,,,,,
1000,3.5,0.001040,,,,,,,,
1100,3.7,0.000581,,,,,,,,
1200,4.0,0.000391,,,,,,,,
1300,4.2,0.000270,,,,,,,,
1400,4.4,0.000275,,,,,,,,
1500,4.7,0.000282,,,,,,,,
1600,4.9,0.000323,,,,,,,,
1700,5.1,0.000198,,,,,,,,
1800,5.4,0.000191,,,,,,,,
1900,5.6,0.000400,,,,,,,,
2000,5.8,0.000334,,,,,,,,
2100,6.0,0.000151,,,,,,,,
2200,6.3,0.000121,,,,,,,,
2300,6.5,0.000101,,,,,,,,
2400,6.7,0.000153,,,,,,,,
2500,7.0,0.000110,,,,,,,,
2600,7.2,0.000202,,,,,,,,
2700,7.4,0.000113,,,,,,,,
2800,7.7,0.000094,,,,,,,,
2900,7.9,0.000097,,,,,,,,
3000,8.2,0.000138,,,,,,,,
3100,8.4,0.000068,,,,,,,,
3200,8.6,0.000095,,,,,,,,
3300,8.8,0.000066,,,,,,,,
3400,9.0,0.000062,,,,,,,,
3500,9.3,0.000085,,,,,,,,
3600,9.5,0.000064,,,,,,,,
3700,9.7,0.000074,,,,,,,,
3800,9.9,0.000106,,,,,,,,
3900,10.2,0.000050,,,,,,,,
4000,10.4,0.000051,,,,,,,,
4100,10.6,0.000086,,,,,,,,
4200,10.8,0.000082,,,,,,,,
4300,11.0,0.000057,,,,,,,,
4400,11.3,0.000065,,,,,,,,
4500,11.5,0.000038,,,,,,,,
4600,11.7,0.000070,,,,,,,,
4700,12.0,0.000049,,,,,,,,
4800,12.2,0.000076,,,,,,,,
4900,12.4,0.000039,,,,,,,,
5000,14.2,0.000044,0.005005,3.184209e-01,3.144613e-02,2.528900e-02,0.000000,3.059958e-01,3.004321e-02,2.458222e-02
5100,14.4,0.000059,,,,,,,,
5200,14.6,0.000045,,,,,,,,
5300,14.8,0.000056,,,,,,,,
5400,15.0,0.000052,,,,,,,,
5500,15.2,0.000044,,,,,,,,
5600,15.4,0.000053,,,,,,,,
5700,15.6,0.000035,,,,,,,,
5800,15.8,0.000032,,,,,,,,
5900,16.0,0.000066,,,,,,,,
6000,16.3,0.000037,,,,,,,,
6100,16.5,0.000035,,,,,,,,
6200,16.7,0.000037,,,,,,,,
6300,16.9,0.000033,,,,,,,,
6400,17.2,0.000026,,,,,,,,
6500,17.4,0.000048,,,,,,,,
6600,17.6,0.000031,,,,,,,,
6700,17.9,0.000049,,,,,,,,
6800,18.1,0.000059,,,,,,,,
6900,18.3,0.000056,,,,,,,,
7000,18.6,0.000041,,,,,,,,
7100,18.8,0.000029,,,,,,,,
7200,19.0,0.000022,,,,,,,,
7300,19.3,0.000042,,,,,,,,
7400,19.5,0.000026,,,,,,,,
7500,19.7,0.000029,,,,,,,,
7600,20.0,0.000018,,,,,,,,
7700,20.2,0.000024,,,,,,,,
7800,20.4,0.000020,,,,,,,,
7900,20.6,0.000039,,,,,,,,
8000,20.8,0.000047,,,,,,,,
8100,21.1,0.000028,,,,,,,,
8200,21.3,0.000049,,,,,,,,
8300,21.5,0.000039,,,,,,,,
8400,21.8,0.000037,,,,,,,,
8500,22.0,0.000021,,,,,,,,
8600,22.2,0.000046,,,,,,,,
8700,22.5,0.000030,,,,,,,,
8800,22.7,0.000022,,,,,,,,
8900,22.9,0.000017,,,,,,,,
9000,23.2,0.000020,,,,,,,,
9100,23.4,0.000068,,,,,,,,
9200,23.6,0.000043,,,,,,,,
9300,23.9,0.000019,,,,,,,,
9400,24.1,0.000015,,,,,,,,
9500,24.3,0.000020,,,,,,,,
9600,24.5,0.000016,,,,,,,,
9700,24.8,0.000028,,,,,,,,
9800,25.0,0.000066,,,,,,,,
9900,25.2,0.000020,,,,,,,,
10000,26.5,0.000012,0.003437,2.258083e-01,2.159314e-02,1.738773e-02,0.000000,2.044747e-01,2.096323e-02,1.718716e-02
10100,26.7,0.000039,,,,,,,,
10200,26.9,0.000024,,,,,,,,
10300,27.1,0.000021,,,,,,,,
10400,27.3,0.000021,,,,,,,,
10500,27.5,0.000016,,,,,,,,
10600,27.7,0.000016,,,,,,,,
10700,27.9,0.000058,,,,,,,,
10800,28.2,0.000024,,,,,,,,
10900,28.4,0.000015,,,,,,,,
11000,28.6,0.000014,,,,,,,,
11100,28.9,0.000025,,,,,,,,
11200,29.1,0.000022,,,,,,,,
11300,29.3,0.000037,,,,,,,,
11400,29.5,0.000013,,,,,,,,
11500,29.8,0.000015,,,,,,,,
11600,30.0,0.000026,,,,,,,,
11700,30.2,0.000016,,,,,,,,
11800,30.4,0.000011,,,,,,,,
11900,30.6,0.000044,,,,,,,,
12000,30.8,0.000016,,,,,,,,
12100,31.1,0.000015,,,,,,,,
12200,31.3,0.000022,,,,,,,,
12300,31.5,0.000016,,,,,,,,
12400,31.8,0.000012,,,,,,,,
12500,32.0,0.000046,,,,,,,,
12600,32.2,0.000015,,,,,,,,
12700,32.4,0.000014,,,,,,,,
12800,32.7,0.000013,,,,,,,,
12900,32.9,0.000013,,,,,,,,
13000,33.1,0.000027,,,,,,,,
13100,33.4,0.000010,,,,,,,,
13200,33.6,0.000018,,,,,,,,
13300,33.8,0.000015,,,,,,,,
13400,34.1,0.000020,,,,,,,,
13500,34.3,0.000010,,,,,,,,
13600,34.5,0.000008,,,,,,,,
13700,34.7,0.000010,,,,,,,,
13800,35.0,0.000021,,,,,,,,
13900,35.2,0.000022,,,,,,,,
14000,35.4,0.000008,,,,,,,,
14100,35.6,0.000013,,,,,,,,
14200,35.8,0.000026,,,,,,,,
14300,36.1,0.000016,,,,,,,,
14400,36.3,0.000015,,,,,,,,
14500,36.5,0.000011,,,,,,,,
14600,36.7,0.000041,,,,,,,,
14700,37.0,0.000010,,,,,,,,
14800,37.2,0.000011,,,,,,,,
14900,37.4,0.000014,,,,,,,,
15000,38.7,0.000018,0.003669,2.485657e-01,2.305603e-02,1.918469e-02,0.000000,1.652371e-01,2.301530e-02,1.966495e-02
15100,38.9,0.000007,,,,,,,,
15200,39.1,0.000012,,,,,,,,
15300,39.3,0.000011,,,,,,,,
15400,39.5,0.000008,,,,,,,,
15500,39.7,0.000014,,,,,,,,
15600,39.9,0.000010,,,,,,,,
15700,40.1,0.000018,,,,,,,,
15800,40.4,0.000007,,,,,,,,
15900,40.6,0.000008,,,,,,,,
16000,40.8,0.000008,,,,,,,,
16100,41.1,0.000012,,,,,,,,
16200,41.3,0.000015,,,,,,,,
16300,41.5,0.000012,,,,,,,,
16400,41.7,0.000018,,,,,,,,
16500,42.0,0.000025,,,,,,,,
16600,42.2,0.000008,,,,,,,,
16700,42.4,0.000009,,,,,,,,
16800,42.7,0.000012,,,,,,,,
16900,42.9,0.000008,,,,,,,,
17000,43.1,0.000008,,,,,,,,
17100,43.4,0.000017,,,,,,,,
17200,43.6,0.000009,,,,,,,,
17300,43.9,0.000007,,,,,,,,
17400,44.1,0.000012,,,,,,,,
17500,44.3,0.000017,,,,,,,,
17600,44.6,0.000013,,,,,,,,
17700,44.8,0.000007,,,,,,,,
17800,45.0,0.000008,,,,,,,,
17900,45.3,0.000007,,,,,,,,
18000,45.5,0.000008,,,,,,,,
18100,45.7,0.000017,,,,,,,,
18200,45.9,0.000028,,,,,,,,
18300,46.2,0.000011,,,,,,,,
18400,46.4,0.000015,,,,,,,,
18500,46.6,0.000019,,,,,,,,
18600,46.9,0.000008,,,,,,,,
18700,47.1,0.000008,,,,,,,,
18800,47.3,0.000016,,,,,,,,
18900,47.6,0.000008,,,,,,,,
19000,47.8,0.000008,,,,,,,,
19100,48.0,0.000009,,,,,,,,
19200,48.2,0.000011,,,,,,,,
19300,48.5,0.000014,,,,,,,,
19400,48.7,0.000008,,,,,,,,
19500,49.0,0.000006,,,,,,,,
19600,49.2,0.000009,,,,,,,,
19700,49.4,0.000009,,,,,,,,
19800,49.6,0.000017,,,,,,,,
19900,49.8,0.000009,,,,,,,,
20000,51.1,0.000006,0.001652,2.056714e-01,1.037997e-02,7.890774e-03,0.000000,1.339814e-01,1.002522e-02,7.840215e-03
20100,51.3,0.000007,,,,,,,,
20200,51.5,0.000017,,,,,,,,
20300,51.7,0.000005,,,,,,,,
20400,51.9,0.000010,,,,,,,,
20500,52.1,0.000005,,,,,,,,
20600,52.4,0.000007,,,,,,,,
20700,52.6,0.000011,,,,,,,,
20800,52.8,0.000008,,,,,,,,
20900,53.0,0.000007,,,,,,,,
21000,53.3,0.000018,,,,,,,,
21100,53.5,0.000007,,,,,,,,
21200,53.7,0.000007,,,,,,,,
21300,53.9,0.000020,,,,,,,,
21400,54.2,0.000015,,,,,,,,
21500,54.4,0.000007,,,,,,,,
21600,54.6,0.000008,,,,,,,,
21700,54.8,0.000009,,,,,,,,
21800,55.0,0.000008,,,,,,,,
21900,55.3,0.000007,,,,,,,,
22000,55.5,0.000006,,,,,,,,
22100,55.8,0.000006,,,,,,,,
22200,56.0,0.000009,,,,,,,,
