step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.5,0.113438,,,,,,,,
200,0.8,0.102739,,,,,,,,
300,1.2,0.051700,,,,,,,,
400,1.5,0.022404,,,,,,,,
500,1.8,0.014017,,,,,,,,
600,2.1,0.012240,,,,,,,,
700,2.4,0.004489,,,,,,,,
800,2.7,0.003560,,,,,,,,
900,3.0,0.001766,,,,,,,,
1000,3.3,0.001388,,,,,,,,
1100,3.6,0.001399,,,,,,,,
1200,3.9,0.000762,,,,,,,,
1300,4.3,0.000384,,,,,,,,
1400,4.6,0.000404,,,,,,,,
1500,4.9,0.000293,,,,,,,,
1600,5.2,0.000304,,,,,,,,
1700,5.5,0.000219,,,,,,,,
1800,5.8,0.000174,,,,,,,,
1900,6.1,0.000153,,,,,,,,
2000,6.4,0.000202,,,,,,,,
2100,6.7,0.000156,,,,,,,,
2200,7.0,0.000127,,,,,,,,
2300,7.4,0.000134,,,,,,,,
2400,7.7,0.000107,,,,,,,,
2500,8.0,0.000081,,,,,,,,
2600,8.3,0.000106,,,,,,,,
2700,8.6,0.000066,,,,,,,,
2800,8.9,0.000112,,,,,,,,
2900,9.2,0.000073,,,,,,,,
3000,9.5,0.000056,,,,,,,,
3100,9.8,0.000055,,,,,,,,
3200,10.2,0.000075,,,,,,,,
3300,10.5,0.000044,,,,,,,,
3400,10.7,0.000077,,,,,,,,
3500,11.0,0.000050,,,,,,,,
3600,11.3,0.000139,,,,,,,,
3700,11.6,0.000050,,,,,,,,
3800,11.9,0.000061,,,,,,,,
3900,12.2,0.000041,,,,,,,,
4000,12.5,0.000069,,,,,,,,
4100,12.8,0.000043,,,,,,,,
4200,13.1,0.000071,,,,,,,,
4300,13.4,0.000056,,,,,,,,
4400,13.7,0.000038,,,,,,,,
4500,14.0,0.000027,,,,,,,,
4600,14.3,0.000057,,,,,,,,
4700,14.6,0.000029,,,,,,,,
4800,14.9,0.000048,,,,,,,,
4900,15.2,0.000030,,,,,,,,
5000,16.8,0.000032,0.000030,4.262515e-01,2.510561e-02,1.953047e-02,0.000000,2.337065e-01,2.403427e-02,1.908167e-02
5100,17.0,0.000055,,,,,,,,
5200,17.3,0.000028,,,,,,,,
5300,17.6,0.000025,,,,,,,,
5400,17.9,0.000030,,,,,,,,
5500,18.2,0.000040,,,,,,,,
5600,18.5,0.000028,,,,,,,,
5700,18.8,0.000050,,,,,,,,
5800,19.1,0.000021,,,,,,,,
5900,19.4,0.000022,,,,,,,,
6000,19.8,0.000022,,,,,,,,
6100,20.1,0.000017,,,,,,,,
6200,20.4,0.000022,,,,,,,,
6300,20.7,0.000027,,,,,,,,
6400,20.9,0.000032,,,,,,,,
6500,21.3,0.000013,,,,,,,,
6600,21.6,0.000018,,,,,,,,
6700,21.9,0.000022,,,,,,,,
6800,22.2,0.000014,,,,,,,,
6900,22.4,0.000028,,,,,,,,
7000,22.7,0.000038,,,,,,,,
7100,23.0,0.000057,,,,,,,,
7200,23.3,0.000025,,,,,,,,
7300,23.6,0.000020,,,,,,,,
7400,23.9,0.000017,,,,,,,,
7500,24.2,0.000012,,,,,,,,
7600,24.5,0.000025,,,,,,,,
7700,24.9,0.000018,,,,,,,,
7800,25.2,0.000029,,,,,,,,
7900,25.5,0.000018,,,,,,,,
8000,25.7,0.000037,,,,,,,,
8100,26.0,0.000014,,,,,,,,
8200,26.3,0.000016,,,,,,,,
8300,26.6,0.000017,,,,,,,,
8400,26.9,0.000022,,,,,,,,
8500,27.2,0.000025,,,,,,,,
8600,27.5,0.000048,,,,,,,,
8700,27.8,0.000040,,,,,,,,
8800,28.1,0.000024,,,,,,,,
8900,28.4,0.000016,,,,,,,,
9000,28.8,0.000033,,,,,,,,
9100,29.1,0.000056,,,,,,,,
9200,29.4,0.000025,,,,,,,,
9300,29.7,0.000017,,,,,,,,
9400,30.0,0.000014,,,,,,,,
9500,30.3,0.000031,,,,,,,,
9600,30.6,0.000015,,,,,,,,
9700,30.9,0.000012,,,,,,,,
9800,31.2,0.000023,,,,,,,,
9900,31.5,0.000018,,,,,,,,
10000,32.9,0.000012,0.000015,2.155337e-01,1.886819e-02,1.539641e-02,0.000000,2.155337e-01,1.899743e-02,1.568520e-02
10100,33.2,0.000018,,,,,,,,
10200,33.5,0.000019,,,,,,,,
10300,33.7,0.000027,,,,,,,,
10400,34.0,0.000016,,,,,,,,
10500,34.3,0.000007,,,,,,,,
10600,34.6,0.000024,,,,,,,,
10700,35.0,0.000025,,,,,,,,
10800,35.3,0.000021,,,,,,,,
10900,35.6,0.000017,,,,,,,,
11000,35.9,0.000015,,,,,,,,
11100,36.2,0.000015,,,,,,,,
11200,36.5,0.000016,,,,,,,,
11300,36.8,0.000013,,,,,,,,
11400,37.1,0.000020,,,,,,,,
11500,37.4,0.000014,,,,,,,,
11600,37.7,0.000027,,,,,,,,
11700,38.0,0.000010,,,,,,,,
11800,38.3,0.000024,,,,,,,,
11900,38.6,0.000014,,,,,,,,
12000,38.9,0.000015,,,,,,,,
12100,39.2,0.000012,,,,,,,,
12200,39.5,0.000011,,,,,,,,
12300,39.8,0.000017,,,,,,,,
12400,40.1,0.000016,,,,,,,,
12500,40.4,0.000016,,,,,,,,
12600,40.7,0.000016,,,,,,,,
12700,41.0,0.000019,,,,,,,,
12800,41.4,0.000013,,,,,,,,
12900,41.7,0.000019,,,,,,,,
13000,42.0,0.000013,,,,,,,,
13100,42.3,0.000009,,,,,,,,
13200,42.6,0.000014,,,,,,,,
13300,42.9,0.000012,,,,,,,,
13400,43.2,0.000012,,,,,,,,
13500,43.5,0.000020,,,,,,,,
