step,elapsed_s,train_loss,eval_loss,max_abs_err,mean_abs_err,median_abs_err,frac_under_boyd,max_abs_err_bulk,mean_abs_err_bulk,median_abs_err_bulk
100,0.7,0.195612,,,,,,,,
200,1.0,0.152250,,,,,,,,
300,1.5,0.107796,,,,,,,,
400,2.0,0.112808,,,,,,,,
500,2.5,0.017937,,,,,,,,
600,3.0,0.007411,,,,,,,,
700,3.5,0.003459,,,,,,,,
800,4.0,0.002078,,,,,,,,
900,4.5,0.001754,,,,,,,,
1000,5.0,0.001730,,,,,,,,
1100,5.5,0.001326,,,,,,,,
1200,6.0,0.001154,,,,,,,,
1300,6.6,0.001283,,,,,,,,
1400,7.1,0.000526,,,,,,,,
1500,7.6,0.000161,,,,,,,,
1600,8.1,0.000109,,,,,,,,
1700,8.6,0.000053,,,,,,,,
1800,9.1,0.000104,,,,,,,,
1900,9.7,0.000084,,,,,,,,
2000,10.2,0.000057,,,,,,,,
2100,10.7,0.000059,,,,,,,,
2200,11.2,0.000050,,,,,,,,
2300,11.7,0.000064,,,,,,,,
2400,12.2,0.000094,,,,,,,,
2500,12.8,0.000048,,,,,,,,
2600,13.3,0.000034,,,,,,,,
2700,13.8,0.000028,,,,,,,,
2800,14.3,0.000040,,,,,,,,
2900,14.8,0.000023,,,,,,,,
3000,15.3,0.000023,,,,,,,,
3100,15.8,0.000065,,,,,,,,
3200,16.3,0.000028,,,,,,,,
3300,16.8,0.000069,,,,,,,,
3400,17.3,0.000017,,,,,,,,
3500,17.8,0.000010,,,,,,,,
3600,18.3,0.000011,,,,,,,,
3700,18.8,0.000020,,,,,,,,
3800,19.3,0.000032,,,,,,,,
3900,19.9,0.000116,,,,,,,,
4000,20.4,0.000022,,,,,,,,
4100,20.9,0.000038,,,,,,,,
4200,21.4,0.000016,,,,,,,,
4300,21.9,0.000046,,,,,,,,
4400,22.4,0.000016,,,,,,,,
4500,22.9,0.000015,,,,,,,,
4600,23.4,0.000016,,,,,,,,
4700,23.9,0.000010,,,,,,,,
4800,24.4,0.000100,,,,,,,,
4900,25.0,0.000011,,,,,,,,
