name,geometry_M,geometry_e,geometry_gap,geometry_range_M,geometry_range_e,behavior_M,behavior_e,behavior_gap,attention_M,attention_e,attention_gap,geometry_gap_k3,behavior_gap_k3,attention_gap_k3,geometry_gap_k8,behavior_gap_k8,attention_gap_k8,M_dep,e_dep,ov_top_rho,ov_top_r,ov_top_span,ov_sum_rho,ov_sum_r,ov_sum_span,purity_attn_share,parity_leak_attn,parity_leak_mlp,raw_e_cancellation,decode_cubic_rms,decode_isotonic_rms,decode_full_write_rms
d128_l1_h2_gelu_lin_mse_100k_s0,5,5,0,73.3,129.5,4,3,1,5,5,0,+0,+1,+0,+1,+1,+0,2.0603,0.2089,1.00,0.969,0.201,0.99,0.968,0.186,0.019,0.6,1.4,0.41,0.0077,0.0046,0.0006
d128_l1_h2_gelu_lin_mse_100k_s1,5,4,1,90.9,79.7,4,3,1,5,3,2,+1,+1,+2,+1,+1,+2,2.0603,0.2089,1.00,0.986,0.144,1.00,0.978,0.162,0.192,0.6,0.8,1.32,0.0172,0.0104,0.0009
d128_l1_h2_gelu_lin_mse_100k_s2,5,4,1,82.9,75.0,4,3,1,6,4,2,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.79,0.857,0.065,0.94,0.933,0.092,0.022,0.7,2.1,0.07,0.0084,0.0007,0.0018
d128_l1_h2_gelu_lin_mse_100k_s3,4,3,1,17.2,17.4,5,4,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.93,0.833,0.114,0.90,0.837,0.129,0.032,0.6,2.1,1.90,0.0076,0.0029,0.0071
d128_l1_h2_gelu_lin_mse_100k_s4,5,4,1,28.8,18.2,4,3,1,5,4,1,+1,+1,+1,+2,+1,+1,2.0603,0.2089,0.60,0.730,0.101,0.73,0.778,0.140,0.026,0.5,1.8,1.71,0.0068,0.0049,0.0042
d128_l1_h2_gelu_lin_mse_200k_s0,6,5,1,174.8,192.1,5,4,1,5,5,0,+1,+1,-1,+1,+1,+0,2.0603,0.2089,1.00,0.978,0.217,1.00,0.964,0.161,0.017,0.7,1.2,0.47,0.0062,0.0048,0.0012
d128_l1_h2_gelu_lin_mse_200k_s1,5,4,1,126.5,128.5,4,3,1,5,3,2,+1,+0,+2,+1,+1,+2,2.0603,0.2089,1.00,0.972,0.103,1.00,0.980,0.110,0.325,0.8,1.0,1.12,0.0123,0.0072,0.0005
d128_l1_h2_gelu_lin_mse_200k_s2,6,5,1,125.9,133.1,4,3,1,6,4,2,+1,+1,+2,+1,+1,+2,2.0603,0.2089,0.76,0.850,0.054,0.96,0.952,0.079,0.019,0.8,2.1,0.21,0.0074,0.0005,0.0004
d128_l1_h2_gelu_lin_mse_200k_s3,4,3,1,33.5,34.6,5,4,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.84,0.771,0.118,0.85,0.788,0.120,0.014,1.0,1.7,1.23,0.0060,0.0018,0.0046
d128_l1_h2_gelu_lin_mse_200k_s4,5,4,1,23.6,17.1,5,4,1,4,3,1,+1,+1,+1,+2,+1,+1,2.0603,0.2089,0.50,0.689,0.085,0.50,0.722,0.111,0.016,0.8,1.5,1.28,0.0061,0.0033,0.0026
d128_l1_h2_gelu_lin_mse_25k_s0,5,4,1,25.4,45.1,4,3,1,5,4,1,+1,+1,+1,+0,+1,+1,2.0603,0.2089,1.00,0.988,0.080,1.00,0.993,0.088,0.180,0.6,2.1,0.68,0.0100,0.0033,0.0004
d128_l1_h2_gelu_lin_mse_25k_s1,4,3,1,27.7,26.7,4,3,1,4,3,1,+1,+1,+1,+1,+1,+1,2.0604,0.2089,1.00,0.995,0.064,1.00,0.991,0.073,0.085,0.3,1.3,1.29,0.0168,0.0093,0.0008
d128_l1_h2_gelu_lin_mse_25k_s2,4,3,1,19.1,18.1,4,3,1,4,4,0,+1,+1,+0,+1,+1,+1,2.0604,0.2089,0.96,0.961,0.047,0.96,0.974,0.056,0.012,0.8,2.1,0.15,0.0073,0.0031,0.0005
d128_l1_h2_gelu_lin_mse_25k_s3,3,2,1,7.1,6.6,4,3,1,4,3,1,+2,+1,+1,+0,+1,+1,2.0603,0.2089,0.98,0.925,0.073,0.98,0.916,0.088,0.043,0.2,2.3,1.16,0.0088,0.0011,0.0048
d128_l1_h2_gelu_lin_mse_25k_s4,4,3,1,19.0,11.7,4,3,1,4,3,1,+2,+1,+1,+1,+1,+1,2.0603,0.2089,0.88,0.855,0.056,0.90,0.865,0.073,0.046,0.3,1.9,1.30,0.0095,0.0068,0.0048
d128_l1_h2_gelu_lin_mse_400k_s0,6,6,0,185.4,314.3,4,4,0,6,5,1,+0,+1,+1,+1,+1,+1,2.0603,0.2089,0.90,0.878,0.054,0.99,0.952,0.060,0.029,0.8,1.4,0.11,0.0052,0.0019,0.0003
d128_l1_h2_gelu_lin_mse_400k_s1,5,5,0,169.1,180.4,4,3,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,1.00,0.981,0.054,1.00,0.994,0.048,0.255,0.9,0.7,0.65,0.0108,0.0050,0.0004
d128_l1_h2_gelu_lin_mse_400k_s2,6,5,1,200.2,204.8,5,4,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.75,0.810,0.029,0.95,0.953,0.040,0.014,0.8,2.1,0.28,0.0080,0.0006,0.0002
d128_l1_h2_gelu_lin_mse_400k_s3,5,4,1,61.7,57.4,5,4,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.88,0.800,0.069,0.88,0.830,0.069,0.013,1.6,1.8,1.10,0.0059,0.0003,0.0039
d128_l1_h2_gelu_lin_mse_400k_s4,5,4,1,47.4,24.8,5,4,1,5,3,2,+1,+1,+2,+2,+1,+2,2.0603,0.2089,0.45,0.717,0.045,0.55,0.770,0.059,0.016,0.8,1.3,1.39,0.0058,0.0033,0.0016
d128_l1_h2_gelu_lin_mse_50k_s0,5,4,1,92.4,70.6,4,3,1,4,5,-1,+0,+0,+0,+1,+1,+0,2.0603,0.2089,1.00,0.994,0.181,1.00,0.992,0.157,0.034,0.6,1.4,1.16,0.0080,0.0054,0.0007
d128_l1_h2_gelu_lin_mse_50k_s1,5,4,1,53.1,43.6,4,3,1,4,3,1,+1,+1,+1,+2,+1,+1,2.0604,0.2089,1.00,0.992,0.088,1.00,0.984,0.103,0.145,0.5,0.9,1.53,0.0189,0.0113,0.0009
d128_l1_h2_gelu_lin_mse_50k_s2,5,4,1,41.9,46.4,4,3,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.90,0.931,0.058,0.96,0.962,0.075,0.020,0.8,2.2,0.10,0.0075,0.0015,0.0019
d128_l1_h2_gelu_lin_mse_50k_s3,3,2,1,11.2,10.6,4,3,1,5,4,1,+1,+1,+1,+1,+1,+0,2.0603,0.2089,0.98,0.892,0.102,0.98,0.886,0.117,0.034,0.5,2.2,1.32,0.0091,0.0013,0.0068
d128_l1_h2_gelu_lin_mse_50k_s4,4,3,1,11.9,10.2,4,3,1,5,3,2,+2,+1,+2,+2,+1,+2,2.0603,0.2089,0.82,0.814,0.075,0.82,0.833,0.102,0.029,0.5,2.1,1.52,0.0082,0.0057,0.0051
d128_l1_h2_gelu_lin_mse_800k_s0,6,5,1,131.5,182.1,5,4,1,5,5,0,+1,+1,+0,+1,+1,+0,2.0603,0.2089,1.00,0.989,0.050,1.00,0.978,0.037,0.012,0.9,0.7,0.66,0.0044,0.0026,0.0005
d128_l1_h2_gelu_lin_mse_800k_s1,6,4,2,135.5,130.8,5,4,1,5,4,1,+1,+1,+1,+1,+1,+2,2.0603,0.2089,1.00,0.984,0.026,1.00,0.989,0.033,0.146,0.7,0.5,0.48,0.0130,0.0060,0.0003
d128_l1_h2_gelu_lin_mse_800k_s2,6,5,1,320.4,438.6,5,4,1,5,3,2,+1,+1,+2,+1,+0,+2,2.0603,0.2089,0.58,0.790,0.010,0.93,0.908,0.014,0.017,0.9,1.1,0.18,0.0093,0.0005,0.0004
d128_l1_h2_gelu_lin_mse_800k_s3,5,4,1,76.8,117.5,5,4,1,5,4,1,+1,+1,+1,+1,+1,+1,2.0603,0.2089,0.89,0.820,0.019,0.84,0.827,0.019,0.015,1.6,1.0,0.82,0.0056,0.0001,0.0032
d128_l1_h2_gelu_lin_mse_800k_s4,5,4,1,160.2,150.0,5,4,1,5,4,1,+2,+1,+1,+1,+1,+1,2.0603,0.2089,0.44,0.736,0.013,0.92,0.827,0.023,0.008,0.9,0.9,1.20,0.0057,0.0021,0.0018
d16_l1_h2_gelu_lin_mse_100k_s0,5,4,1,91.7,111.5,4,3,1,4,4,0,+1,+1,+0,+1,+1,+0,2.0604,0.2089,1.00,0.944,0.009,0.81,0.872,0.012,0.102,1.9,2.5,0.16,0.0119,0.0090,0.0010
d16_l1_h2_gelu_lin_mse_100k_s1,3,3,0,8.8,15.0,4,3,1,3,3,0,+0,+1,+0,+0,+0,+0,2.0604,0.2089,1.00,0.948,0.014,1.00,0.907,0.020,0.053,1.2,2.7,0.78,0.0055,0.0016,0.0050
