family,rung,median,bulk_max
Fourier–Bessel (order),4,3.355e-03,2.936e-01
Fourier–Bessel (order),5,1.642e-03,2.533e-01
Fourier–Bessel (order),6,8.415e-04,2.218e-01
Fourier–Bessel (order),7,4.403e-04,1.965e-01
Fourier–Bessel (order),8,2.410e-04,1.752e-01
Fourier–Bessel (order),9,1.307e-04,1.578e-01
Fourier–Bessel (order),10,7.228e-05,1.427e-01
Fourier–Bessel (order),11,4.307e-05,1.297e-01
Fourier–Bessel (order),12,2.362e-05,1.182e-01
Fourier–Bessel (order),13,1.361e-05,1.081e-01
Fourier–Bessel (order),14,7.556e-06,9.877e-02
Fourier–Bessel (order),15,4.321e-06,9.097e-02
Fourier–Bessel (order),16,2.578e-06,8.421e-02
Fourier–Bessel (order),17,1.543e-06,7.792e-02
Fourier–Bessel (order),18,9.022e-07,7.215e-02
Fourier–Bessel (order),19,5.048e-07,6.690e-02
Fourier–Bessel (order),20,3.266e-07,6.200e-02
Fourier–Bessel (order),21,1.902e-07,5.742e-02
Fourier–Bessel (order),22,1.115e-07,5.314e-02
Fourier–Bessel (order),23,6.531e-08,4.914e-02
Fourier–Bessel (order),24,4.011e-08,4.540e-02
Fourier–Bessel (order),25,2.435e-08,4.191e-02
Fourier–Bessel (order),26,1.387e-08,3.910e-02
Fourier–Bessel (order),27,8.654e-09,3.693e-02
Fourier–Bessel (order),28,5.146e-09,3.489e-02
Fourier–Bessel (order),29,3.317e-09,3.296e-02
Fourier–Bessel (order),30,1.899e-09,3.113e-02
"model width, 800k steps",d4,5.920e-03,1.183e-01
"model width, 800k steps",d8,1.854e-03,5.228e-02
"model width, 800k steps",d16,7.761e-04,2.096e-02
"model width, 800k steps",d32,3.109e-04,1.043e-02
"model width, 800k steps",d64,2.049e-04,6.909e-03
"model width, 800k steps",d128,1.503e-04,5.923e-03
Boyd (degree),3,2.273e-02,2.647e-01
Boyd (degree),5,1.538e-03,2.785e-02
Boyd (degree),7,5.634e-05,1.230e-03
Boyd (degree),9,1.322e-06,3.181e-05
Fourier–Bessel (order),slope,,0.154
"model width, 800k steps",slope,,0.841
Boyd (degree),slope,,0.930
