name,role,family,d,steps,out,loss,seed,params,median,max_bulk,max,L,p_L,openness,excess,ramp_dev,pc1_pearson,pc1_spearman,dissoc,dec_R2,dec_M,dec_esinM,library_resid_med,mlp_factor,register_share,register_cos_weff,register_surv_esinM,register_steer_half_corr,register_steer_half_med,register_vs_e0_corr,register_vs_e0_med,register_read_write_cos
d4_l1_h2_gelu_lin_mse_25k_s0,scaling,1,4,25000,linear,mse,0,385,0.01343,0.1907,0.2475,0.521,7.151082059279564e-05,3.67,0.002,0.026,0.999,1.0,single,0.998,0.973,0.706,0.03303,41,0.973,0.369,0.005,0.9998,0.02615,0.9994,0.04515,0.95
d4_l1_h2_gelu_lin_mse_25k_s1,scaling,1,4,25000,linear,mse,1,385,0.009953,0.1178,0.2637,0.579,9.948958585730485e-06,3.51,0.009,0.052,0.986,1.0,distributed,0.998,0.975,0.715,0.0323,75,0.93,0.061,-0.057,0.9997,0.03058,0.9986,0.07169,0.991
d4_l1_h2_gelu_lin_mse_25k_s2,scaling,1,4,25000,linear,mse,2,385,0.01456,0.1962,0.2412,0.505,0.00011689081637414534,2.1,0.039,0.079,0.858,0.842,double,0.998,0.964,0.665,0.03557,84,0.983,0.095,0.044,0.9999,0.01713,0.9999,0.0414,0.987
d4_l1_h2_gelu_lin_mse_25k_s3,scaling,1,4,25000,linear,mse,3,385,0.02326,0.3419,0.3419,0.563,1.776744239109152e-05,2.56,0.0,0.083,0.942,0.927,double,0.998,0.968,0.694,0.03684,55,0.997,0.864,-0.001,0.9999,0.01834,0.9999,0.03236,0.169
d4_l1_h2_gelu_lin_mse_25k_s4,scaling,1,4,25000,linear,mse,4,385,0.01205,0.1741,0.2975,0.712,2.7574309211212074e-08,4.1,0.032,0.025,0.98,0.976,distributed,0.998,0.981,0.733,0.03421,56,0.968,0.379,-0.011,0.9997,0.02377,0.9996,0.03937,0.797
d4_l1_h2_gelu_lin_mse_50k_s0,scaling,1,4,50000,linear,mse,0,385,0.008913,0.136,0.1755,0.561,1.8794258288206175e-05,4.33,0.192,0.019,0.897,1.0,single,0.998,0.979,0.732,0.03148,94,0.985,0.363,0.019,0.9999,0.02151,0.9997,0.04552,0.984
d4_l1_h2_gelu_lin_mse_50k_s1,scaling,1,4,50000,linear,mse,1,385,0.008543,0.1257,0.2168,0.589,6.870477890055879e-06,4.29,0.089,0.043,0.947,1.0,single,0.998,0.977,0.724,0.03128,94,0.934,0.01,-0.073,0.9996,0.03798,0.9986,0.07002,0.958
d4_l1_h2_gelu_lin_mse_50k_s2,scaling,1,4,50000,linear,mse,2,385,0.01192,0.1479,0.2439,0.547,3.083814003899941e-05,2.92,0.259,0.031,0.814,0.709,double,0.998,0.971,0.693,0.03371,100,0.995,0.171,0.026,1.0,0.01362,0.9999,0.02908,0.972
d4_l1_h2_gelu_lin_mse_50k_s3,scaling,1,4,50000,linear,mse,3,385,0.01678,0.2594,0.2774,0.63,1.3847292412297544e-06,2.98,0.006,0.07,0.978,0.988,double,0.998,0.97,0.702,0.0343,45,0.997,0.783,-0.007,0.9999,0.01436,0.9999,0.02019,0.295
d4_l1_h2_gelu_lin_mse_50k_s4,scaling,1,4,50000,linear,mse,4,385,0.00847,0.1351,0.2137,0.773,6.601111237430161e-10,5.26,0.005,0.018,0.994,1.0,distributed,0.998,0.978,0.723,0.03202,82,0.915,0.195,0.011,0.9997,0.0297,0.9994,0.05711,0.832
