field,place,dist_to_tail,tail_noise,digit_sensitivity
M,0,5.5610e-01,7.2181e-04,2.06e+00
M,1,5.2457e-01,7.2181e-04,1.77e-01
M,2,3.0514e-01,7.2181e-04,1.78e-02
M,3,8.9875e-02,7.2181e-04,1.80e-03
M,4,1.0834e-02,7.2181e-04,2.81e-04
M,5,1.4945e-03,7.2181e-04,2.27e-04
M,6,4.3273e-04,7.2181e-04,2.27e-04
M,7,8.7728e-04,7.2181e-04,2.27e-04
M,8,8.7436e-04,7.2181e-04,2.27e-04
M,9,6.1223e-04,7.2181e-04,2.27e-04
M,10,5.6665e-04,7.2181e-04,2.27e-04
M,11,9.6762e-04,7.2181e-04,2.26e-04
e,0,5.4997e-01,1.2160e-03,1.86e-01
e,1,3.9327e-01,1.2160e-03,1.84e-02
e,2,1.3527e-01,1.2160e-03,1.84e-03
e,3,1.1663e-02,1.2160e-03,2.91e-04
e,4,1.5793e-03,1.2160e-03,2.27e-04
e,5,2.0560e-03,1.2160e-03,2.27e-04
e,6,1.6369e-03,1.2160e-03,2.27e-04
e,7,1.5921e-03,1.2160e-03,2.26e-04
e,8,1.2556e-03,1.2160e-03,2.26e-04
e,9,1.4110e-03,1.2160e-03,2.27e-04
e,10,5.8505e-04,1.2160e-03,2.27e-04
e,11,8.1511e-04,1.2160e-03,2.26e-04
