name,weighted_rho,weighted_r
d4_l1_h2_gelu_lin_mse_25k_s0,1.0,0.9857
d4_l1_h2_gelu_lin_mse_25k_s1,0.9879,0.91
d4_l1_h2_gelu_lin_mse_25k_s2,0.9879,0.9792
d4_l1_h2_gelu_lin_mse_25k_s3,0.0545,0.0162
d4_l1_h2_gelu_lin_mse_25k_s4,0.503,0.6894
d4_l1_h2_gelu_lin_mse_50k_s0,1.0,0.9941
d4_l1_h2_gelu_lin_mse_50k_s1,0.9879,0.9215
d4_l1_h2_gelu_lin_mse_50k_s2,1.0,0.9871
d4_l1_h2_gelu_lin_mse_50k_s3,0.8545,0.8181
d4_l1_h2_gelu_lin_mse_50k_s4,1.0,0.9753
d4_l1_h2_gelu_lin_mse_100k_s0,1.0,0.9756
d4_l1_h2_gelu_lin_mse_100k_s1,0.9879,0.9382
d4_l1_h2_gelu_lin_mse_100k_s2,0.9394,0.9657
d4_l1_h2_gelu_lin_mse_100k_s3,0.9758,0.9867
d4_l1_h2_gelu_lin_mse_100k_s4,1.0,0.9874
d4_l1_h2_gelu_lin_mse_200k_s0,1.0,0.9817
d4_l1_h2_gelu_lin_mse_200k_s1,1.0,0.9733
d4_l1_h2_gelu_lin_mse_200k_s2,0.8667,0.9006
d4_l1_h2_gelu_lin_mse_200k_s3,1.0,0.9668
d4_l1_h2_gelu_lin_mse_200k_s4,1.0,0.9867
d4_l1_h2_gelu_lin_mse_400k_s0,1.0,0.9872
d4_l1_h2_gelu_lin_mse_400k_s1,1.0,0.9629
d4_l1_h2_gelu_lin_mse_400k_s2,0.2848,0.2442
d4_l1_h2_gelu_lin_mse_400k_s3,1.0,0.9663
d4_l1_h2_gelu_lin_mse_400k_s4,1.0,0.9968
d4_l1_h2_gelu_lin_mse_800k_s0,1.0,0.9475
d4_l1_h2_gelu_lin_mse_800k_s1,1.0,0.9411
d4_l1_h2_gelu_lin_mse_800k_s2,0.7576,0.8113
d4_l1_h2_gelu_lin_mse_800k_s3,1.0,0.9875
d4_l1_h2_gelu_lin_mse_800k_s4,0.9515,0.9633
d8_l1_h2_gelu_lin_mse_25k_s0,1.0,0.8676
d8_l1_h2_gelu_lin_mse_25k_s1,1.0,0.8566
d8_l1_h2_gelu_lin_mse_25k_s2,0.8303,0.8531
d8_l1_h2_gelu_lin_mse_25k_s3,0.7212,0.8319
d8_l1_h2_gelu_lin_mse_25k_s4,1.0,0.9538
d8_l1_h2_gelu_lin_mse_50k_s0,1.0,0.9105
d8_l1_h2_gelu_lin_mse_50k_s1,1.0,0.8468
d8_l1_h2_gelu_lin_mse_50k_s2,1.0,0.9676
d8_l1_h2_gelu_lin_mse_50k_s3,0.8788,0.867
d8_l1_h2_gelu_lin_mse_50k_s4,1.0,0.9585
d8_l1_h2_gelu_lin_mse_100k_s0,1.0,0.9502
d8_l1_h2_gelu_lin_mse_100k_s1,1.0,0.8643
d8_l1_h2_gelu_lin_mse_100k_s2,0.9879,0.9441
d8_l1_h2_gelu_lin_mse_100k_s3,0.9879,0.9063
d8_l1_h2_gelu_lin_mse_100k_s4,1.0,0.9466
d8_l1_h2_gelu_lin_mse_200k_s0,1.0,0.9607
d8_l1_h2_gelu_lin_mse_200k_s1,1.0,0.9052
d8_l1_h2_gelu_lin_mse_200k_s2,1.0,0.9871
d8_l1_h2_gelu_lin_mse_200k_s3,0.9879,0.9114
d8_l1_h2_gelu_lin_mse_200k_s4,1.0,0.9532
d8_l1_h2_gelu_lin_mse_400k_s0,1.0,0.9786
d8_l1_h2_gelu_lin_mse_400k_s1,1.0,0.9606
d8_l1_h2_gelu_lin_mse_400k_s2,1.0,0.982
d8_l1_h2_gelu_lin_mse_400k_s3,1.0,0.841
d8_l1_h2_gelu_lin_mse_400k_s4,1.0,0.9724
d8_l1_h2_gelu_lin_mse_800k_s0,1.0,0.9819
d8_l1_h2_gelu_lin_mse_800k_s1,1.0,0.9726
d8_l1_h2_gelu_lin_mse_800k_s2,0.9273,0.9502
d8_l1_h2_gelu_lin_mse_800k_s3,0.503,0.6274
d8_l1_h2_gelu_lin_mse_800k_s4,1.0,0.9711
d16_l1_h2_gelu_lin_mse_25k_s0,0.4545,0.62
d16_l1_h2_gelu_lin_mse_25k_s1,1.0,0.8368
d16_l1_h2_gelu_lin_mse_25k_s2,0.9636,0.9722
d16_l1_h2_gelu_lin_mse_25k_s3,1.0,0.9795
d16_l1_h2_gelu_lin_mse_25k_s4,0.9394,0.711
d16_l1_h2_gelu_lin_mse_50k_s0,0.697,0.8231
d16_l1_h2_gelu_lin_mse_50k_s1,1.0,0.8744
d16_l1_h2_gelu_lin_mse_50k_s2,0.9636,0.9666
d16_l1_h2_gelu_lin_mse_50k_s3,1.0,0.9876
d16_l1_h2_gelu_lin_mse_50k_s4,0.9394,0.7146
d16_l1_h2_gelu_lin_mse_100k_s0,0.8061,0.877
d16_l1_h2_gelu_lin_mse_100k_s1,1.0,0.9135
d16_l1_h2_gelu_lin_mse_100k_s2,0.9879,0.978
d16_l1_h2_gelu_lin_mse_100k_s3,1.0,0.9922
d16_l1_h2_gelu_lin_mse_100k_s4,1.0,0.8048
d16_l1_h2_gelu_lin_mse_200k_s0,0.8667,0.9139
d16_l1_h2_gelu_lin_mse_200k_s1,1.0,0.9366
d16_l1_h2_gelu_lin_mse_200k_s2,0.9879,0.9713
d16_l1_h2_gelu_lin_mse_200k_s3,1.0,0.9911
d16_l1_h2_gelu_lin_mse_200k_s4,1.0,0.8602
d16_l1_h2_gelu_lin_mse_400k_s0,0.9636,0.9653
d16_l1_h2_gelu_lin_mse_400k_s1,1.0,0.9726
d16_l1_h2_gelu_lin_mse_400k_s2,0.9636,0.9642
d16_l1_h2_gelu_lin_mse_400k_s3,0.9636,0.9772
d16_l1_h2_gelu_lin_mse_400k_s4,1.0,0.921
d16_l1_h2_gelu_lin_mse_800k_s0,0.9636,0.963
d16_l1_h2_gelu_lin_mse_800k_s1,1.0,0.9817
d16_l1_h2_gelu_lin_mse_800k_s2,0.9636,0.9681
d16_l1_h2_gelu_lin_mse_800k_s3,0.9636,0.9563
d16_l1_h2_gelu_lin_mse_800k_s4,1.0,0.9445
d32_l1_h2_gelu_lin_mse_25k_s0,0.9636,0.9756
d32_l1_h2_gelu_lin_mse_25k_s1,1.0,0.9786
d32_l1_h2_gelu_lin_mse_25k_s2,1.0,0.9982
d32_l1_h2_gelu_lin_mse_25k_s3,0.9515,0.933
d32_l1_h2_gelu_lin_mse_25k_s4,0.9879,0.9724
d32_l1_h2_gelu_lin_mse_50k_s0,0.9636,0.9713
d32_l1_h2_gelu_lin_mse_50k_s1,1.0,0.9916
d32_l1_h2_gelu_lin_mse_50k_s2,1.0,0.9966
d32_l1_h2_gelu_lin_mse_50k_s3,0.9515,0.9162
d32_l1_h2_gelu_lin_mse_50k_s4,0.9636,0.9524
d32_l1_h2_gelu_lin_mse_100k_s0,0.9394,0.9601
d32_l1_h2_gelu_lin_mse_100k_s1,1.0,0.9928
d32_l1_h2_gelu_lin_mse_100k_s2,1.0,0.9943
d32_l1_h2_gelu_lin_mse_100k_s3,0.8788,0.8845
d32_l1_h2_gelu_lin_mse_100k_s4,0.9152,0.9151
d32_l1_h2_gelu_lin_mse_200k_s0,0.9515,0.9717
d32_l1_h2_gelu_lin_mse_200k_s1,1.0,0.9899
d32_l1_h2_gelu_lin_mse_200k_s2,1.0,0.996
d32_l1_h2_gelu_lin_mse_200k_s3,0.8788,0.8659
d32_l1_h2_gelu_lin_mse_200k_s4,0.9152,0.9037
d32_l1_h2_gelu_lin_mse_400k_s0,0.9758,0.9861
d32_l1_h2_gelu_lin_mse_400k_s1,1.0,0.9813
d32_l1_h2_gelu_lin_mse_400k_s2,0.9636,0.9736
d32_l1_h2_gelu_lin_mse_400k_s3,0.8909,0.8648
d32_l1_h2_gelu_lin_mse_400k_s4,0.8909,0.8931
d32_l1_h2_gelu_lin_mse_800k_s0,0.9394,0.9647
d32_l1_h2_gelu_lin_mse_800k_s1,1.0,0.9795
d32_l1_h2_gelu_lin_mse_800k_s2,0.9152,0.9406
d32_l1_h2_gelu_lin_mse_800k_s3,0.8909,0.9041
d32_l1_h2_gelu_lin_mse_800k_s4,0.9152,0.9241
d64_l1_h2_gelu_lin_mse_25k_s0,0.8061,0.8657
d64_l1_h2_gelu_lin_mse_25k_s1,1.0,0.9901
d64_l1_h2_gelu_lin_mse_25k_s2,1.0,0.9576
d64_l1_h2_gelu_lin_mse_25k_s3,1.0,0.9963
d64_l1_h2_gelu_lin_mse_25k_s4,0.9636,0.9563
d64_l1_h2_gelu_lin_mse_50k_s0,0.697,0.8103
